# =============================================================================
# DEFCON LANGUAGE FILE
#
# Format:
# stringId                  translation
#
#
# A hash at the start of a line indicates a comment
# StringIDs MUST be left untouched during translation
#
# =============================================================================


# =============================================================================
# Name of the language in the language
# =============================================================================

lang			Français
tutorial_mission1deselect_popup			ESPACE désélectionne cette unité.

# ==== MISSION 2 =====

tutorial_mission2start			Votre premier objectif consistera toujours à déployer toutes vos unités.\n\nOuvrez le panneau d'unités pour commencer leur déploiement.
tutorial_m2selectsilo			Vous pouvez à partir de ce panneau déployer toutes vos unités disponibles. Pour cette mission, vous n'avez que des silos.\n\nVous devez déployer toutes vos unités AVANT Defcon 3.\n\nCliquez sur l'icône de silo pour commencer leur déploiement.
tutorial_m2placesilos			La région verte représente votre territoire.\n\nVous ne pouvez déployer des unités que sur votre territoire, et les unités terrestres ne peuvent plus être déplacées une fois déployées.\n\nLes unités terrestres ne peuvent pas être trop proches l'une de l'autre.\n\nDéployez vos silos près de vos villes afin de les défendre.
tutorial_m2destroynukes			Des sous-marins ennemis ont lancé des missiles nucléaires sur vos villes !\n\nVos silos sont déjà en mode de défense aérienne et vont détruire les têtes nucléaires en approche.\n\nLes silos en mode de défense aérienne sont très efficaces contre les têtes nucléaires.

tutorial_m2end			Mission 2 accomplie.\n\nCliquez sur Suivant pour passer à la mission 3.
tutorial_mission2failed			Un missile nucléaire a frappé l'une de vos villes !\n\nEssayez de déployer vos silos près des villes la prochaine fois, afin qu'ils aient plus de temps pour détruire les têtes nucléaires en approche.\n\nCliquez sur Recommencer pour réessayer.

tutorial_unitpanel_popup			Cliquez sur ce bouton pour ouvrir le panneau d'unités.
tutorial_silo_popup			Cliquez sur cette icône pour commencer à déployer vos silos.
tutorial_silo_place			Effectuez un clic gauche sur cette région pour déployer vos silos près de vos villes principales.

# ==== MISSION 3 =====

tutorial_mission3start			Dans Defcon, chaque unité dispose d'une portée radar, et vous ne pouvez voir une unité ennemie que si elle se trouve dans votre couverture radar.\n\nLa Russie renferme plusieurs unités ennemies devant être dévoilées.\n\nDéployez vos centres radars pour dévoiler les unités ennemies.
tutorial_m3radarplacement			Déployez vos centres radars aussi près que possible de la Russie.\n\nÀ mesure que vous déployez chaque station radar, votre visibilité de la région augmente. Les unités ennemies seront ainsi être dévoilées.
tutorial_m3siloplacement			Vous pouvez maintenant voir les unités ennemies.\n\nDéployez des silos sur votre territoire pour détruire l'adversaire.
tutorial_m3gamespeed			Il nous faut des armes nucléaires pour détruire les bâtiments ennemis, mais nous ne pouvons pas nous en servir avant Defcon 1.\n\nPour atteindre Defcon 1, nous devons accélérer le temps. Cliquez sur les boutons de contrôle de la vitesse pour ce faire, jusqu'à ce que Defcon 1 soit déclaré.
tutorial_m3defcon1			De nombreuses unités ne peuvent pas prendre part aux combats avant qu'un certain niveau de Defcon n'ait été atteint.\n\nLe combat naval et aérien ne peut avoir lieu avant Defcon 3.\n\nLES ARMES NUCLÉAIRES NE PEUVENT ÊTRE UTILISÉES QUE LORSQUE DEFCON 1 EST ATTEINT.\n\nAccélérez le temps jusqu'à ce que Defcon 1 survienne.
tutorial_m3destroyenemy			Vous pouvez à présent utiliser vos silos pour détruire à l'arme nucléaire les bâtiments ennemis.\n\nL'adversaire dispose aussi d'un silo, réglé en mode de défense aérienne, qui détruira nombre de vos missiles. De plus, le silo ennemi est renforcé contre les frappes nucléaires et peut supporter trois frappes directes.\n\nVous devez tirer sur le silo ennemi avec tous les vôtres simultanément pour vous assurer la victoire.
tutorial_m3silostaketime			Un certain temps est nécessaire pour que les silos passent du mode de défense aérienne au mode ICBM. Passez la souris sur un silo pour voir le temps que vous aurez à attendre.\n\nN'hésitez pas à accélérer le temps si nécessaire.\n\nContinuez à lancer toutes vos armes nucléaires sur les bâtiments ennemis jusqu'à ce qu'ils soient détruits.

tutorial_m3end			Mission 3 accomplie.\n\nCliquez sur Suivant pour passer à la mission 4.
tutorial_mission3failed1			Vous avez déployé tous vos centres radars mais n'avez pas dévoilé toutes les unités ennemies.\n\nVous avez échoué.\n\nCliquez sur Recommencer pour réessayer.
tutorial_mission3failed2			Vous n'avez plus de missile nucléaire, et n'avez pas réussi à détruire les bâtiments ennemis.\n\nCliquez sur Recommencer pour réessayer.

tutorial_radar_popup			Cliquez sur cette icône pour commencer à déployer vos centres radars.
tutorial_radar_place			Effectuez un clic gauche sur cette région pour déployer vos centres radars près du territoire ennemi.
tutorial_acceltime_popup			Cliquez sur les boutons de contrôle de la vitesse pour accélérer le temps jusqu'à Defcon 1.
tutorial_silosnuke_popup			Effectuez un clic droit sur ce silo et passez-le en mode de lancement ICBM.
macosx_tutorial_silosnuke_popup			Effectuez un clic droit sur ce silo et passez-le en mode de lancement ICBM.\n(Ctrl-clic si vous avez une souris à un bouton)
tutorial_nukenemeysilo_popup			Effectuez plusieurs clics gauches sur ce silo pour programmer plusieurs attaques à la suite dessus. Il détruira beaucoup de vos missiles et peut supporter 3 frappes directes.
tutorial_nukeenemyairbase_popup			Lancez quelques missiles nucléaires sur cette base aérienne ennemie.
tutorial_nukenemeycities_popup			N'hésitez pas à utiliser vos missiles nucléaires restants sur la population civile ennemie.

# ==== MISSION 4 =====

tutorial_mission4start			Les unités ennemies seront souvent en dehors de votre couverture radar. Afin de les dévoiler, vous devrez envoyer des avions en reconnaissance au dessus du territoire ennemi.\n\nPlacez quelques bases aériennes sur votre territoire.
tutorial_m4launchfighters			Les bases aériennes peuvent dépêcher deux types d'appareils :\n-Chasseurs : avions de combat à faible portée/reconnaissance\n-Bombardiers : appareil à longue portée disposant d'une seule arme nucléaire\n\nLes chasseurs sont des appareils rapides de combat rapproché. Ils sont efficaces lorsqu'il s'agit d'abattre d'autres appareils et de reconnaître le territoire ennemi.\n\nLancez vos chasseurs chez l'ennemi pour rechercher des cibles.
tutorial_m4radar			Chaque chasseur dispose d'un radar de faible portée qui dévoilera les bâtiments ennemis s'il passe assez près.\n\nActivez votre vue radar pour prendre connaissance de votre couverture radar.
tutorial_m4launchbombers			Vos chasseurs ont découvert tous les bâtiments ennemis.\n\nVous remarquerez qu'un bâtiment ennemi devient gris lorsqu'il sort de votre couverture radar : cela s'appelle un fantôme radar.\n\nNous allons à présent dépêcher des bombardiers pour lâcher des armes nucléaires sur ces cibles.\n\nOrdonnez à vos bases aériennes de lancer des bombardiers sur les bâtiments ennemis.
tutorial_m4bomberinfo			Un bombardier peut parcourir une très longue distance, mais doit beaucoup s'approcher de sa cible. Il ne transporte qu'une seule arme nucléaire de faible portée.\n\nUn bombardier lance automatiquement son arme lorsqu'il est portée de sa cible.
tutorial_m4nukeslaunched			Une fois son arme nucléaire lancée, il retourne automatiquement se poser à la base aérienne la plus proche.\n\nAprès avoir atterri, il reçoit une nouvelle arme nucléaire, bien que les bases aériennes n'en aient qu'un nombre limité pour réarmer les bombardiers.\n\nSi vous mettez en évidence une base aérienne (en passant la souris dessus) vous verrez le nombre d'appareils et d'armes nucléaires disponibles.

tutorial_m4end			Mission 4 accomplie.\n\nCliquez sur Suivant pour passer à la mission 5.
tutorial_mission4failed			Vous n'avez plus d'arme nucléaire et n'avez pas détruit l'ennemi. Vous avez échoué.\n\nCliquez sur Recommencer pour réessayer.

tutorial_selectairbase_popup			Cliquez sur cette icône pour commencer à déployer vos bases aériennes.
tutorial_placeairbase_popup			Effectuez un clic gauche sur cette région pour déployer vos bases aériennes.
tutorial_clickairbase_popup			Effectuez un clic gauche sur cette base aérienne pour commencer à lancer vos chasseurs.
tutorial_scouthere_popup			Effectuez plusieurs clics gauches sur cette région pour programmer plusieurs lancements de chasseurs à la suite.
tutorial_radartoolbar_popup			Mettez en évidence ce bouton pour afficher votre couverture radar.
tutorial_switchtobombers_popup			Effectuez un clic droit sur cette base aérienne pour passer en mode bombardiers.
macosx_tutorial_switchtobombers_popup       			Effectuez un clic droit sur cette base aérienne pour passer en mode bombardiers.\n(Ctrl-clic si vous avez une souris à un bouton)
tutorial_clickairbasebomber_popup			Effectuez un clic gauche sur cette base aérienne pour commencer à lancer vos bombardiers.
tutorial_nukebuilding_popup			Lancez deux bombardiers sur ce bâtiment ennemi.

# ==== MISSION 5 =====

tutorial_mission5start			Nombre de vos forces mobiles seront des forces maritimes, regroupées en flottes.\n\nUne flotte est constituée d'un nombre d'éléments pouvant aller jusqu'à six. Elle se déplace et combat comme une unité unique.\n\nOuvrez le panneau d'unités et cliquez sur le bouton Flottes pour commencer à déployer une flotte.
tutorial_m5createfleet			C'est le constructeur de flottes. Vous y ajouterez des éléments en cliquant sur les boutons d'unités.\n-Les navires de guerre sont efficaces contre de nombreuses unités ennemies, mais restent vulnérables aux sous-marins.\n-Les porte-avions sont des bases aériennes mobiles et vous permettent de lancer des chasseurs et des bombardiers. Ils peuvent aussi lâcher des charges sur les sous-marins.\n-Les sous-marins sont invisibles aux radars conventionnels et transportent des armes nucléaires de moyenne portée.\nConstruisez une flotte de six éléments, trois navires de guerre et trois porte-avions.
tutorial_m5battleshipinfo			Vous contrôlez les flottes comme une seule unité. Si vous demandez à une flotte de se déplacer, tous ses éléments progresseront ensemble. Si vous lui ordonnez d'attaquer une flotte ennemie, ses éléments l'attaqueront en groupe, au mieux de ses possibilités.\n\nSélectionnez l'une de vos flottes en cliquant avec le bouton gauche sur n'importe lequel de ses éléments.\n\nPuis déplacez la flotte vers le sud en cliquant avec le bouton droit sur sa destination.
macosx_tutorial_m5battleshipinfo			Vous contrôlez les flottes comme une seule unité. Si vous demandez à une flotte de se déplacer, tous ses éléments progresseront ensemble. Si vous lui ordonnez d'attaquer une flotte ennemie, ses éléments l'attaqueront en groupe, au mieux de ses possibilités.\n\nSélectionnez l'une de vos flottes en cliquant avec le bouton gauche sur n'importe lequel de ses éléments.\n\nPuis déplacez la flotte vers le sud en cliquant avec le bouton droit (ou ctrl-clic) sur sa destination.
tutorial_m5destroyenemy			Il y a deux flottes ennemies dissimulées dans l'Atlantique. Utilisez vos flottes pour les découvrir et les détruire.\n\n- Cliquez avec le bouton gauche sur n'importe lequel de ses éléments pour sélectionner la flotte entière.\n- Cliquez avec le bouton droit pour indiquer une destination à la flotte sélectionnée.\n\nAccélérez le temps si nécessaire.
macosx_tutorial_m5destroyenemy			Il y a deux flottes ennemies dissimulées dans l'Atlantique. Utilisez vos flottes pour les découvrir et les détruire.\n\n- Cliquez avec le bouton gauche sur n'importe lequel de ses éléments pour sélectionner la flotte entière.\n- Cliquez avec le bouton droit (ou ctrl-clic) pour indiquer une destination à la flotte sélectionnée.\n\nAccélérez le temps si nécessaire.
tutorial_m5destroyenemy2			Vos flottes engageront automatiquement le combat avec celles ennemies une fois à portée. Les navires de guerre ouvriront le feu et les porte-avions lanceront des chasseurs si nécessaire.\n\nVous pouvez contrôler manuellement les batailles si vous voulez. Cliquez par exemple avec le bouton gauche sur l'un de vos porte-avions pour le sélectionner, puis cliquez avec le bouton gauche sur un élément ennemi pour lui indiquer sur qui envoyer des chasseurs.\nMettez en évidence le bouton Ordres pour voir les ordres d'attaque en cours.

tutorial_m5end			Mission 5 accomplie.\n\nCliquez sur Suivant pour passer à la mission 6.
tutorial_mission5failed			Vous avez perdu toutes vos forces maritimes sans détruire l'ennemi. Vous avez échoué.\n\nCliquez sur Recommencer pour réessayer.

tutorial_selectfleet_popup			Cliquez sur cette icône pour commencer à déployer vos flottes.
tutorial_addbattleship_popup			Cliquez sur cette icône pour ajouter un navire de guerre à votre flotte.
tutorial_addcarrier_popup			Cliquez sur cette icône pour ajouter un porte-avions à votre flotte.
tutorial_deployfleet_popup			Effectuez un clic gauche pour déployer votre flotte dans ce secteur.
tutorial_selectdeployedfleet_popup			Effectuez un clic gauche sur n'importe quel élément pour sélectionner la flotte entière.
tutorial_movefleet_popup			Effectuez un clic droit pour déplacer toute votre flotte sélectionnée ici.
macosx_tutorial_movefleet_popup			Effectuez un clic droit pour déplacer toute votre flotte sélectionnée ici.\n(Ctrl-clic si vous avez une souris à un bouton)
tutorial_destroyfleet_popup			Détruisez la flotte ennemie de ce secteur.
tutorial_orderstoolbar_popup			Mettez en évidence ce bouton pour afficher vos ordres.

# ==== MISSION 6 =====

tutorial_mission6start			Nous avons jusqu'alors opéré en dehors de l'Europe, l'Union soviétique étant l'ennemie. Ce ne sera pas toujours le cas cependant.\n\nPour cette mission, votre territoire est l'Amérique du Nord et l'ennemi est l'Asie du Sud.\n\nMettez en évidence le bouton territoires pour voir qui contrôle quelles parties de la carte.
tutorial_mission6subintro			Dans cette situation, le Pacifique est un champ de bataille crucial. L'ennemi a positionné plusieurs sous-marins nucléaires près de la côte ouest de l'Amérique. Ils pourront à partir de cette position détruire nombre de nos villes principales.\n\nLa meilleure arme contre les sous-marins ennemis est le porte-avions. Il dispose d'un sonar pour détecter les sous-marins en plongée, et peut lâcher des charges pour les couler.\n\nDéployez une flotte de porte-avions près de la côte ouest.
tutorial_mission6placesubs			En représailles, nous allons également utiliser nos propres sous-marins pour détruire l'est de la Chine.\n\nCréez une flotte de sous-marins et placez-la aussi près que possible de l'est de la Chine.
tutorial_m6subinfo			Les sous-marins transportent de nombreuses armes nucléaires de moyenne portée.\n\nFait extrêmement important, ils n'apparaissent pas sur les radars ennemis avant de faire surface, ce qui les rend invisibles et à l'abri des armes standard.\n\nDéplacez vos sous-marins aussi près que possible de la côte ennemie et infligeons quelques millions de morts.
tutorial_m6destroysubs			Deux flottes de sous-marins ennemis sont dissimulés près de la côte ouest de l'Amérique.\n\nPassez certains de vos porte-avions en mode anti sous-marin et faites-les couler avec des charges.\n\nVos porte-avions en ont un stock illimité.\nAccélérez le temps si nécessaire.
tutorial_m6movesubs			Les sous-marins peuvent avoir un effet dévastateur car ils peuvent progresser jusqu'aux côtes ennemies et frapper sans presque se faire repérer.\n\nDéplacez vos sous-marins à portée de tir de l'est de la Chine.
tutorial_m6enemylaunch			L'ennemi a commencé à lancer des armes nucléaires sur nos villes depuis ses silos terrestres !\n\nNous allons nous servir de nos sous-marins proches pour détruire leurs silos avant qu'ils n'infligent trop de dommages.\n\nPassez vos sous-marins en mode de lancement MRBM et détruisez les silos ennemis !
tutorial_m6launchexplanation			Bien que nous n'ayons pas de couverture radar de la région, nous pouvons toujours voir les silos ennemis.\n\nLes silos trahissent en effet leurs positions à tout le monde lorsqu'ils lancent leurs armes nucléaires.\n\nLes silos en mode de lancement sont incapables de se défendre seuls, aussi est-ce l'occasion parfaite de frapper.\n\nUne fois leurs silos détruits, ils seront sans défense. Prenez donc pour cibles leurs villes et infligez de sérieux dommages !
tutorial_m6end			Mission 6 accomplie.\n\nCliquez sur Suivant pour passer à votre dernière mission d'entraînement.

tutorial_territorytoolbar_popup			Mettez en évidence ce bouton pour afficher le territoire de chaque joueur.
tutorial_addsub_popup			Cliquez sur cette icône pour ajouter un sous-marin à votre flotte.
tutorial_movesubs_popup			Effectuez un clic droit ici pour déplacer vos sous-marins à portée de tir de l'est de la Chine.
macosx_tutorial_movesubs_popup			Effectuez un clic droit ici pour déplacer vos sous-marins à portée de tir de l'est de la Chine.\n(Ctrl-clic si vous avez une souris à un bouton)
tutorial_switchtodepth_popup			Effectuez un clic droit sur ce porte-avions et passez-le en mode anti sous-marin.
macosx_tutorial_switchtodepth_popup			Effectuez un clic droit sur ce porte-avions et passez-le en mode anti sous-marin.\n(Ctrl-clic si vous avez une souris à un bouton)
tutorial_destroysubs_popup			Déplacez vos porte-avions ici et détruisez les sous-marins ennemis du secteur.
tutorial_substonuke_popup			Effectuez un clic droit sur ce sous-marin et passez-le en mode de lancement MRBM.
macosx_tutorial_substonuke_popup			Effectuez un clic droit sur ce sous-marin et passez-le en mode de lancement MRBM.\n(Ctrl-clic si vous avez une souris à un bouton)
tutorial_nukesilo_popup			Effectuez plusieurs clics gauches sur ce silo pour y lancer plusieurs armes nucléaires depuis vos sous-marins.


# ==== MISSION 7 =====

tutorial_mission7start			C'est votre dernière mission d'entraînement. Vous allez devoir mettre en pratique tout ce que vous avez appris pour remporter une vraie bataille contre un adversaire contrôlé par l'ordinateur.\n\nVous devez marquer plus de points que l'ennemi en détruisant ses villes. Vous marquerez 2 points pour chaque ennemi tué, mais perdrez 1 point pour chaque civil tué dans vos rangs.\n\nPour cette partie, votre territoire est l'Amérique du Nord et l'adversaire contrôle l'Asie du Sud.
tutorial_mission7enemyattack			L'ennemi vous lance ses missiles !\n\nSi vous disposez de sous-marins ou de porte-avions près de la côte chinoise, servez-vous-en pour détruire les silos ennemis tandis qu'ils sont sans défense.\n\nConservez vos silos terrestres en mode de défense aérienne et détruisez les armes nucléaires en approche.
tutorial_mission7retaliate			L'ennemi a maintenant tiré la plupart de ses missiles.\n\nServez-vous de vos silos terrestres et de vos armes nucléaires restantes pour lancer de grandes représailles sur les villes ennemies en Chine !
tutorial_m7victory			Félicitations ! Vous avez réussi à battre l'adversaire contrôlé par l'ordinateur et avec terminé le didacticiel de Defcon !
tutorial_mission7failed			L'intelligence artificielle vous a battu et vous avez échoué.\n\nConseils :\n-Essayez de faire progresser vos sous-marins jusqu'aux côtes ennemies pour détruire ses silos avant qu'ils ne lancent trop d'armes nucléaires.\nUtilisez vos porte-avions pour trouver et détruire les sous-marins ennemis avant qu'ils n'attaquent.\n\nCliquez sur Recommencer pour réessayer.

tutorial_showterritory_popup			Mettez en évidence ce bouton pour afficher l'emplacement de vos ennemis.
tutorial_m7placeradar_popup			L'ennemi viendra de la côte est chinoise. Déployez vos radars le long de la côte ouest pour une couverture maximum.
tutorial_m7placesilos_popup			Déployez vos silos pour couvrir vos principales villes. Ce seront les cibles principales de l'ennemi.
tutorial_m7placeairbases_popup			Déployez vos bases aériennes le long de la côte ouest de l'Amérique. Elles serviront à engager et à détruire les forces maritimes ennemies l'atteignant.
tutorial_placefleetspacific_popup			L'ennemi enverra des forces maritimes dans le Pacifique pour nous attaquer. Vous devriez y déployer la majeure partie de vos flottes pour les intercepter.
tutorial_m7fleettarget_popup			Essayez de faire progresser vos flottes jusqu'à la côte est chinoise afin de frapper l'ennemi de près.\nEffectuez un clic GAUCHE pour sélectionner une flotte entière.\nEffectuez un clic DROIT pour déplacer une flotte entière.
macosx_tutorial_m7fleettarget_popup			Essayez de faire progresser vos flottes jusqu'à la côte est chinoise afin de frapper l'ennemi de près.\nEffectuez un clic GAUCHE pour sélectionner une flotte entière.\nEffectuez un clic DROIT (ou ctrl-clic) pour déplacer une flotte entière.
tutorial_m7scoutchina_popuup			Lancez des chasseurs de vos porte-avions proches, afin qu'ils reconnaissent les bases terrestres de l'ennemi.
tutorial_m7enemysubs_popup			Les sous-marins ennemis lancent des missiles nucléaires sur vos villes ! Lancez des chasseurs et des bombardiers proches pour les détruire ! 


# =============================================================================
# Unit Info
# =============================================================================

unitinfo_title			INFORMATIONS UNITÉ
unitinfo_title2			(aucune unité sélectionnée)

unitinfo_fighter			Appareil rapide de combat rapproché.\n+ Efficace contre les bombardiers\n+ Bon outil de reconnaissance\n- Facilement détruit par les navires de guerre et les silos
unitinfo_silo			Plate-forme nucléaire et antiaérienne.\n+ Grand nombre de missiles nucléaires à longue portée\n+ armes antiaériennes efficaces\n+ Renforcé contre les frappes nucléaires\n- Le lancement d'un missile nucléaire révèle son emplacement à tous\n- Lent changement de mode
unitinfo_radar			Fournit une couverture radar sur votre territoire.\n+ Plus importante portée radar disponible\n- Facilement détruit par une frappe nucléaire
unitinfo_bomber			Appareil à longue portée polyvalent.\n+ Transporte une seule arme nucléaire de courte portée\n+ Le lancement de l'arme nucléaire ne s'affiche pas sur le radar ennemi\n+ Efficace contre les navires\n- Proie facile des chasseurs\n- Déplacement lent
unitinfo_battleship			Puissant bateau armé aux armes efficaces.\n+ Capable de combattre plusieurs cibles\n- Vulnérable aux sous-marins et aux bombardiers
unitinfo_sub			Puissante unité furtive et nucléaire.\n+ Invisible aux radars conventionnels\n+ Grand nombre d'armes nucléaires\n- Très vulnérable en surface\n- Le lancement d'un missile nucléaire révèle son emplacement à tous\n- Vulnérable aux charges\n- Aucune portée radar
unitinfo_carrier			Unité mobile de transport d'avions.\n+ Peut lancer des chasseurs et des bombardiers\n+ Peut lâcher des charges contre les sous-marins\n- Incapable de se défendre directement
unitinfo_nuke			Tête nucléaire.\n+ Puissance de destruction incroyable\n- Vulnérable aux armes antiaériennes
unitinfo_airbase			Point de lancement de chasseurs et de bombardiers.\n+ Nombre important de bombardiers\n+ Reconstruit des chasseurs avec le temps\n- Facilement détruit par une frappe nucléaire


# =============================================================================
# Demo screen
# =============================================================================

demo_top1                           Achetez le jeu maintenant pour en profiter pleinement
demo_middle1                        Plus de limitation au nombre de joueurs : génocide à 6 garanti !
demo_middle2                        Modes de jeu alternatifs dont :
demo_middle3                        Mode bureau : jouez Defcon en temps réel sur toute une journée
demo_middle4                        PGV : tout est fini en 15 minutes, brutal et instinctif
demo_middle5                        Diplomatie : tous les joueurs commencent dans la même alliance
demo_middle6                        Vaste monde : le monde est deux fois plus grand
demo_bottom1                        Activation immédiate pour
demo_bottom2                        £10     $17.50      €14

demo_bottom1_steam                  Activation immédiate pour 
demo_bottom2_steam                  $14.95 seulement

demo_bottom1_retail                 ACHETEZ LA VERSION COMPLÈTE DE DEFCON DÈS AUJOURD'HUI
demo_bottom2_retail                 DEMANDEZ À VOTRE VENDEUR DE JEUX HABITUEL

demo_bottom1_retail_uk              ACHETEZ LA VERSION COMPLÈTE DE DEFCON DÈS AUJOURD'HUI
demo_bottom2_retail_uk              DEMANDEZ À VOTRE VENDEUR DE JEUX HABITUEL

demo_bottom1_macosx                 Activation immédiate pour
demo_bottom2_macosx                 $25.00 seulement


# =============================================================================
# Lobby Overlays
# =============================================================================

overlay_0_1			--------------------------
overlay_0_2			-       D E F C O N
overlay_0_3			--------------------------
overlay_0_4			-CRÉÉ PAR
overlay_0_5			CHRIS DELAY
overlay_0_6			GARY CHAMBERS\n
overlay_0_7			-DESIGN SONORE
overlay_0_8			-ET PRODUCTION
overlay_0_9			ALISTAIR LINDSAY
overlay_0_10			MICHAEL MAIDMENT\n
overlay_0_11			-PRODUIT PAR
overlay_0_12			-INTROVERSION SOFTWARE
overlay_0_13			MARK MORRIS
overlay_0_14			THOMAS ARUNDEL
overlay_0_15			CHRIS DELAY
overlay_0_16			JOHN KNOTTENBELT\n
overlay_0_17			-RP ET MARKETING
overlay_0_18			VICTORIA ARUNDEL\n
overlay_0_19			-DESIGN GRAPHIQUE ADDITIONNEL
overlay_0_20			MORTEN ELGAARD PEDERSEN\n
overlay_0_21			-EXPÉDITION
overlay_0_22			WILL MORRIS\n
overlay_0_23			 -DÉVELOPPEMENT ADDITIONNEL
overlay_0_24			FRANCOIS GAGNE

overlay_1_1			------------------------------------------
overlay_1_2			-I N T R O V E R S I O N   S O F T W A R E
overlay_1_3			------------------------------------------\n
overlay_1_4			MARK MORRIS                      DIRECTEUR
overlay_1_5			THOMAS ARUNDEL                   DIRECTEUR
overlay_1_6			CHRIS DELAY                      DIRECTEUR
overlay_1_7			JOHN KNOTTENBELT                 DIRECTEUR\n
overlay_1_8			GARY CHAMBERS                    DÉVELOPPEMENT
overlay_1_9			VICTORIA ARUNDEL                 RP ET MARKETING
overlay_1_10			WILL MORRIS                      EXPÉDITION

overlay_2_1			-------------------------
overlay_2_2			-SIMULATIONS DISPONIBLES-
overlay_2_3			-------------------------\n
overlay_2_4			FALKEN'S MAZE
overlay_2_5			BLACK-JACK
overlay_2_6			GIN RUMMY
overlay_2_7			COEUR
overlay_2_8			BRIDGE
overlay_2_9			DAMES
overlay_2_10			ÉCHECS
overlay_2_11			POKER
overlay_2_12			COMBAT AÉRIEN
overlay_2_13			GUÉRILLA
overlay_2_14			GUERRE DU DÉSERT
overlay_2_15			BOMBARDEMENTS
overlay_2_16			GUERRE TACTIQUE MONDIALE
overlay_2_17			GUERRE BIOLOGIQUE ET CHIMIQUE MONDIALE\n
overlay_2_18			CONFLIT GLOBAL THERMONUCLÉAIRE

overlay_3_1			---------------------------------------
overlay_3_2			- CIBLES CIVILES EN MILLIONS DE MORTS -
overlay_3_3			---------------------------------------\n
overlay_3_4			LOS ANGELES                    3,3
overlay_3_5			NEW YORK                       7,3
overlay_3_6			CHICAGO                        3,0
overlay_3_7			WASHINGTON DC                  4,0
overlay_3_8			DALLAS                         1,0
overlay_3_9			DETROIT                        1,1
overlay_3_10			PARIS                          2,2
overlay_3_11			BERLIN                         1,9
overlay_3_12			LONDRES                        7,7
overlay_3_13			LENINGRAD                      4,9
overlay_3_14			MOSCOU                         8,7
overlay_3_15			ROME                           2,8
overlay_3_16			TOKYO                          8,4
overlay_3_17			SINGAPOURE                     2,6
overlay_3_18			BANGKOK                        4,7
overlay_3_19			BOMBAY                         8,2
overlay_3_20			MEXICO                         8,8
overlay_3_21			RIO DE JANEIRO                 5,6
overlay_3_22			LE CAIRE                       6,1
overlay_3_23			ISTANBUL                       5,5
overlay_3_24			BEIJING                        5,5
overlay_3_25			SHANGHAI                       6,3
overlay_3_26			DELHI                          4,9

overlay_4_1			---------------------------------------------------
overlay_4_2			-   PROJECTION DES PERTES DE L'US AIR FORCE (%)  -
overlay_4_3			---------------------------------------------------\n
overlay_4_4			CENTRE DE DÉFENSE AÉROSPATIALE               23
overlay_4_5			CENTRE DE COMBAT AÉRIEN                      76
overlay_4_6			CENTRE D'ÉDUCATION ET ENTRAÎNEMENT           24
overlay_4_7			CENTRE DES COMMUNICATIONS DE L'AIR FORCE     68
overlay_4_8			CENTRE DES RENSEIGNEMENTS DE L'AIR FORCE     58
overlay_4_9			CENTRE DE LOGISTIQUE DE L'AIR FORCE          78
overlay_4_10			CENTRE DE RÉSERVE DE L'AIR FORCE             14
overlay_4_11			CENTRE SPATIAL DE L'AIR FORCE                12
overlay_4_12			CENTRE DES FORCES SPÉCIALES DE L'AIR FORCE   56
overlay_4_13			CENTRE DES SYSTÈMES DE L'AIR FORCE           86
overlay_4_14			CENTRE DE MOBILITÉ AÉRIENNE                  87
overlay_4_15			CENTRE AÉRIEN DE L'ALASKA                    92
overlay_4_16			QUARTIERS GÉNÉRAUX, USAF                     85
overlay_4_17			CENTRE AÉRIEN DU NORD-EST                    75
overlay_4_18			CENTRE AÉRIEN DU PACIFIQUE                   91
overlay_4_19			FORCES AÉRIENNES DU PACIFIQUE                85
overlay_4_20			CENTRE DES ARMES SPÉCIALES                   67
overlay_4_21			CENTRE DE LA STRATÉGIE                       85
overlay_4_22			CENTRE DE LA TACTIQUE                        91
overlay_4_23			DIVISION AÉRIENNE 3D                         75
overlay_4_24			FORCES DE L'AIR FORCE EN EUROPE              79
overlay_4_25			FORCES DE L'AIR FORCE DU SUD                 65

overlay_5_1			-----------------------------------------------------------------
overlay_5_2			   EFFETS DES RADIATIONS SUR LA PHYSIOLOGIE HUMAINE        
overlay_5_3			-----------------------------------------------------------------\n
overlay_5_4			MOINS DE 1 SV (5O-1OO REM)
overlay_5_5			MALADIE DES RADIATIONS AVEC MAUX DE TÊTE ET RISQUE 
overlay_5_6			SUPÉRIEUR D'INFECTION DE PAR LA PERTURBATION DES 
overlay_5_7			CELLULES IMMUNITAIRES. STÉRILITÉ MASCULINE TEMPORAIRE \nPOSSIBLE.
overlay_5_8			1-2 SV (1OO-2OO REM) (LÉGÈRES) 1O% DE MORTS - 30 JOURS
overlay_5_9			2-3 SV (2OO-3OO REM) (MODÉRÉE) 35% DE MORTS - 30 JOURS
overlay_5_10			3-4 SV (3OO-4OO REM)(IMPORTANTE)5O% DE MORTS - 30 JOURS
overlay_5_11			4-6 SV (4OO-6OO REM)(SÉVÈRE) 6O% DE MORTS - 30 JOURS
overlay_5_12			1O-5O SV (1 OOO-5 OOO REM)(SÉVÈRE)1OO% DE MORTS - 7 JOURS\n
