# =============================================================================
# DEFCON LANGUAGE FILE
#
# Format:
# stringId                  translation
#
#
# A hash at the start of a line indicates a comment
# StringIDs MUST be left untouched during translation
#
# =============================================================================


# =============================================================================
# Name of the language in the language
# =============================================================================

lang			Deutsch
tutorial_levelname_1			Atomraketen abschießen
tutorial_levelname_2			Luftabwehr
tutorial_levelname_3			Radarabdeckung
tutorial_levelname_4			Kundschaften und bombardieren
tutorial_levelname_5			Seeflotten
tutorial_levelname_6			U-Boote
tutorial_levelname_7			Weltweiter thermonuklearer Krieg

tutorial_popup			Tutorial-Popup
tutorial_clicknext_popup			Klicke zum Fortfahren auf Weiter

# ==== MISSION 1 =====

tutorial_start			Willkommen zum Defcon-Tutorial.\n\nIn diesem Tutorial lernen Se alles, was Sie benötigen, um Ihre Streitkräfte effektiv einzusetzen.\n\nKlicken Sie zum Fortfahren auf Weiter.
tutorial_movecamera			Bevor wir damit anfangen, müssen Sie lernen, Ihre Ansicht zu steuern.\n\nSie verschieben die Ansicht, indem Sie den Mauszeiger an die Seite des Bildschirms bewegen.\n\nSie können auch die Tasten W, A, S, D verwenden, um die Ansicht zu verschieben.
tutorial_zoomcamera			Drehen Sie das Mausrad, um die Ansicht zu vergrößern oder zu verkleinern.\n\nSie können auch die Tasten Q und E drücken.
tutorial_movecamera2			Sie können auch die mittlere Maustaste gedrückt halten und de Ansicht verschieben.\n\nKlicken Sie auf Weiter, sobald Sie mit der Ansichtsteuerung vertraut sind und wir fangen damit an, Sachen in die Luft zu sprengen.
tutorial_silofocus			Dieses markierte Objekt ist ein Raketensilo. Es hat zwei Modi:\n Im ICBM-Abschussmodus kann es Atomraketen auf feindliche Ziele abfeuern.\n Im Luftabwehrmodus schießt es feindliche Raketen und Flugzeuge ab.\nWir brauchen das Silo im ICBM-Abschlussmodus, damit wir die feindlichen Radarstationen da drüben zerstören können.\nRechtsklicken Sie auf das Silo, um es in den ICBM-Abschussmodus zu bringen.
macosx_tutorial_silofocus			Dieses markierte Objekt ist ein Raketensilo. Es hat zwei Modi:\n\n Im ICBM-Abschussmodus kann es Atomraketen auf feindliche Ziele abfeuern.\n Im Luftabwehrmodus schießt es feindliche Raketen und Flugzeuge ab.\n\nWir brauchen das Silo im ICBM-Abschlussmodus, damit wir die feindlichen Radarstationen da drüben zerstören können.\n\nRechtsklicken Sie auf das Silo, um es in den ICBM-Abschussmodus zu bringen.\n(Strg-Klick bei Maus mit einer Taste)
tutorial_mission1destroyradar			Das Symbol für das Raketensilo wird zu einem Dreieck, wenn es den Abschuss der Raketen vorbereitet.\n\nZerstören Sie mit dem Raketensilo die feindlichen Radarstationen.

tutorial_mission1end			Mission 1 abgeschlossen.\n\nKlicken Sie auf Weiter, um mit Mission 2 fortzufahren.
tutorial_mission1failed			Sie haben keine Atomraketen mehr zum Zerstören der Ziele und haben die Mission nicht erfüllt.\n\nKlicken Sie auf Mission neu starten, um es noch einmal zu versuchen.

tutorial_silofocus_popup1			Rechtsklicken Sie auf dieses Silo und wechseln Sie in den ICBM-Abschussmodus.
macosx_tutorial_silofocus_popup1			Rechtsklicken Sie auf dieses Silo und wechseln Sie in den ICBM-Abschussmodus.\n(Strg-Klick bei Maus mit einer Taste)
tutorial_silofocus_selectpopup			Linksklicken Sie auf dieses Silo, um es auszuwählen.
tutorial_mission1destroyradar_popup			Linksklicken Sie auf diese feindliche Radarstation, um eine Atomrakete darauf abzufeuern.
#tutorial_mission1deselect_popup			Mit der LEERTASTE deaktivieren Sie diese Einheit.
tutorial_mission1deselect_popup			LEERTASTE deaktivieren Sie diese Einheit.

# ==== MISSION 2 =====

tutorial_mission2start			Zuerst müssen sie in jedem Spiel bei Defcon Ihre Einheiten setzen.\n\nÖffnen Sie die Einheitenwerkzeuge, um mit der Verteilung zu beginnen.
tutorial_m2selectsilo			Über diese Werkzeuge können Sie alle Ihre verfügbaren Einheiten setzen. Bei dieser Mission haben Sie nur Silos.\n\nSie müssen alle Einheiten VOR Defcon 3 verteilen.\n\nKlicken Sie auf das Silo-Symbol, um mit der Verteilung der Silos zu beginnen.
tutorial_m2placesilos			Der grüne Bereich stellt Ihr Territorium dar.\n\nSie können Ihre Einheiten nur in Ihrem eigenen Territorium verteilen und Bodeneinheiten nach Ihrer Platzierung nicht mehr bewegt werden.\n\nBodeneinheiten können nicht zu nahe aneinander stationiert werden.\n\nSetzen Sie Ihre Silos in die Nähe von Städten, um sie zu verteidigen.
tutorial_m2destroynukes			Feindliche U-Boote haben Atomraketen auf Ihre Städte abgefeuert!\n\nIhre Silos sind bereits im Luftabwehrmodus und schießen die näher kommenden Raketen ab.\n\nSilos im Luftabwehrmodus sind sehr effektiv beim Abschießen von Atomraketen.

tutorial_m2end			Mission 2 abgeschlossen.\n\nKlicken Sie auf Weiter, um mit Mission 3 fortzufahren.
tutorial_mission2failed			Eine Atomrakete hat eine Ihrer Städte getroffen!\n\nPlatzieren Sie nächstes Mal Ihre Silos in der Nähe von Städten zu platzieren, damit sie mehr Zeit zum Abschießen der Atomraketen haben.\n\nKlicken Sie auf Mission neu starten, um es noch einmal zu versuchen.

tutorial_unitpanel_popup			Klicken Sie auf diesen Schalter, um die Einheitenwerkzeuge zu öffnen.
tutorial_silo_popup			Klicken Sie auf dieses Einheitensymbol, um mit der Verteilung der Silos zu beginnen.
tutorial_silo_place			Linksklicken Sie in diesen Bereich, um mit der Verteilung Ihrer Silos bei Ihren Hauptstädten zu beginnen.

# ==== MISSION 3 =====

tutorial_mission3start			Jede Einheit bei Defcon hat eine Radarreichweite und Sie können Feindeinheiten nur sehen, wenn Sie in der Radarabdeckung sind.\n\nIn Russland sind einige Einheiten, die entdeckt werden müssen.\n\nPlatzieren Sie Ihre Radarstationen, um die Feindeinheiten sichtbar zu machen.
tutorial_m3radarplacement			Platzieren Sie Ihre Radarstationen so nahe wie möglich bei Russland.\n\nBeim Platzieren der Radarstationen erkennen Sie, dass Ihre Sichtweite im Gebiet sich vergrößert und mehr Feindeinheiten sichtbar zu machen.
tutorial_m3siloplacement			Sie sehen jetzt die Feindeinheiten.\n\nPlatzieren Sie einige Ihrer Silos in Ihrem Territorium, um den Feind zu zerstören.
tutorial_m3gamespeed			Wir müssen Atomwaffen einsetzen, um die feindlichen Gebäude zu zerstören, Aber das geht erst ab Defcon 1.\n\nBeschleunigen Sie die Zeit, um Defcon 1 zu erreichen. Klicken Sie auf die Geschwindigkeitsschalter, um die Zeit zu beschleunigen, bis Defcon 1 erklärt wird.
tutorial_m3defcon1			Viele Einheiten können keine Kampfhandlungen starten, bis eine bestimmte Defcon-Stufe erreicht ist.\n\nSee- und Luftkämpfe nicht vor Defcon 3 stattfinden.\n\nATOMWAFFEN KÖNNEN ERST NACH ERKLÄRUNG VON DEFCON 1 EINGESETZT\nWERDEN.\n\nBeschleunigen Sie die Zeit, bis Defcon 1 erreicht ist.
tutorial_m3destroyenemy			Sie können jetzt mit dem Silo feindliche Gebäude angreifen.\n\nDer Feind hat ein eigenes Silo im Luftabwehrmodus, das viele Ihrer Einheiten abschießen wird. Außerdem besonders gegen Atomangriffe geschützt und hält drei direkte Treffer aus.\n\nSie müssen gleichzeitig mit allen Ihren Silos auf das Feindsilo schießen, damit Sie Erfolg haben.
tutorial_m3silostaketime			Silos brauchen eventuell lange zum Wechsel vom Luftabwehr- in den ICBM-Modus. Halten Sie den Mauszeiger über ein Silo, um zu sehen, wie lange Sie warten müssen.\n\nBeschleunigen Sie bei Bedarf einfach die Zeit.\n\nFeuern Sie weiter alle Ihre Atomraketen auf feindliche Gebäude, bis sie zerstört sind.

tutorial_m3end			Mission 3 abgeschlossen.\n\nKlicken Sie auf Weiter, um mit Mission 4 fortzufahren.
tutorial_mission3failed1			Sie haben alle Ihre Radarstationen platziert, aber haben nicht alle Feindeinheiten sichtbar gemacht.\n\nDie Mission ist fehlgeschlagen.\n\nKlicken Sie auf Mission neu starten, um es noch einmal zu versuchen.
tutorial_mission3failed2			Sie haben keine Atomraketen mehr und nicht alle feindlichen Gebäude zerstört.\n\nKlicken Sie auf Mission neu starten, um es noch einmal zu versuchen.

tutorial_radar_popup			Klicken Sie auf dieses Einheitensymbol, um mit der Verteilung der Radarstationen zu beginnen.
tutorial_radar_place			Linksklicken Sie in diesen Bereich, um Ihre Radarstationen in der Nähe vom Feindgebiet zu platzieren.
tutorial_acceltime_popup			Klicken Sie auf die Geschwindigkeitsschalter, um die Zeit bis Defcon 1 zu beschleunigen.
tutorial_silosnuke_popup			Rechtsklicken Sie auf dieses Silo und wechseln Sie in den ICBM-Abschussmodus.
macosx_tutorial_silosnuke_popup			Rechtsklicken Sie auf dieses Silo und wechseln Sie in den ICBM-Abschussmodus.\n(Strg-Klick bei Maus mit einer Taste)
tutorial_nukenemeysilo_popup			Linksklicken Sie wiederholt auf dieses Silo, um viele Raketenabschüsse darauf zu planen. Es wird viele Ihrer Atomraketen abschießen und kann drei direkte Treffer ab.
tutorial_nukeenemyairbase_popup			Schießen Sie einige Raketen auf diesen feindlichen Luftstützpunkt ab.
tutorial_nukenemeycities_popup			Verwenden Sie die restlichen Atomraketen ruhig, um die Zivilbevölkerung des Feindes zu bombardieren.

# ==== MISSION 4 =====

tutorial_mission4start			In vielen Fällen sind die Feindeinheiten außer Reichweite Ihres Radars. Um diese Feindeinheiten sichtbar zu machen, senden Sie Aufklärer über das Feindterritorium.\n\nPlatzieren Sie einige Luftstützpunkte in Ihrem Territorium.
tutorial_m4launchfighters			Mit Luftstützpunkten können Sie zwei Arten von Flugzeugen einsetzen:\n-Kampfflugzeuge: Kurzstrecken-Kampf-/Aufklärungsflugzeuge\n-Bomber: Langstreckenflugzeuge mit einer Atombombe\n\Kampfflugzeuge sind schnelle Kurzstreckenflugzeuge. Sie können hervorragend andere Flugzeuge abschießen und sind gute Aufklärer.\n\nSchicken Sie Ihre Kampfflieger in das Feindterritorium, um nach Zielen zu suchen.
tutorial_m4radar			Jedes Kampfflugzeug hat einen Kurzstreckenradar, der Feindgebäude sichtbar macht, wenn er nahe genug heranfliegt.\n\nSchalten Sie Ihre Radaransicht an, um Ihre Radarabdeckung zu sehen.
tutorial_m4launchbombers			Ihre Kampfflugzeuge können all Feindgebäude sichtbar machen.\n\nDie Feindgebäude werden ausgegraut, wenn Sie nicht mehr in der Radarabdeckung sind, dies wird als Radargeist bezeichnet.\n\nJetzt setzen wir Bomber ein, um Atombomben auf diese Feindgebäude\nzu werfen.\n\nStarten Sie von Ihren Luftstützpunkten Bomber zu den Feindgebäuden.
tutorial_m4bomberinfo			Bomber können lange Strecken zurücklegen, müssen aber nahe an Ihre Ziele herankommen, da sie nur eine einzelne Kurzstreckenbombe mitführen.\n\nBomber werfen Ihre Bomben automatisch ab, wenn sie nahe genug am Ziel sind.
tutorial_m4nukeslaunched			Sobald ein Bomber seine Bombe abgeworfen hat, kehrt er automatisch zum nächsten Luftwaffenstützpunkt zurück.\n\nNach der Landung wird ein Bomber mit einer neuen Bombe bewaffnet, Stützpunkte verfügen aber nur eine bestimmte Anzahl von Bomben, mit denen Bomber wiederbewaffnet werden können.\n\nWenn Sie einen Stützpunkt markieren (halten Sie den Mauszeiger darüber), zeigen Sie an, wie viele Flugzeuge und Bomben zur Verfügung stehen.

tutorial_m4end			Mission 4 abgeschlossen.\n\nKlicken Sie auf Weiter, um mit Mission 5 fortzufahren.
tutorial_mission4failed			Sie haben keine Atomraketen mehr zum Zerstören des Feindes und haben die Mission nicht erfüllt.\n\nKlicken Sie auf Mission neu starten, um es noch einmal zu versuchen.

tutorial_selectairbase_popup			Klicken Sie auf dieses Einheitensymbol, um mit der Verteilung der Luftstützpunkte zu beginnen.
tutorial_placeairbase_popup			Linksklicken Sie in diesen Bereich, um mit der Verteilung Ihrer Luftstützpunkte zu beginnen.
tutorial_clickairbase_popup			Linksklicken Sie auf diesen Luftstützpunkt, um Kampfflugzeuge zu starten.
tutorial_scouthere_popup			Linksklicken Sie wiederholt in diesen Bereich, um viele Flugzeugstarts darauf zu planen.
tutorial_radartoolbar_popup			Markieren Sie diesen Symbolleistenschalter, um Ihre Radarabdeckung zu zeigen.
tutorial_switchtobombers_popup			Rechtsklicken Sie auf diesen Luftstützpunkt und wechseln Sie in den Bomber-Modus.
macosx_tutorial_switchtobombers_popup       			Rechtsklicken Sie auf diesen Luftstützpunkt und wechseln Sie in den Bomber-Modus.\n(Strg-Klick bei Maus mit einer Taste)
tutorial_clickairbasebomber_popup			Linksklicken Sie auf diesen Luftstützpunkt, um Bomber zu starten.
tutorial_nukebuilding_popup			Starten Sie einige Bomber in Richtung dieses Feindgebäudes.

# ==== MISSION 5 =====

tutorial_mission5start			Viele Ihrer mobilen Einheiten bestehen aus Schiffen, die in Flotten zusammengefasst sind.\n\nEine Flotte besteht aus bis zu sechs Schiffen und fährt und kämpft als geschlossene Einheit.\n\nÖffnen Sie das Einheitenwerkzeug und klicken Sie auf die Schaltfläche Flotte, um mit dem Platzieren einer Flotte zu beginnen.
tutorial_m5createfleet			Dies ist der Flottenbauer. Klicken Sie auf den Einheitenschalter, um dieses Schiff zur Flotte hinzuzufügen.\n-Schlachtschiffe sind wirkungsvoll gegen verschiedene Feindeinheiten, können aber gegen U-Boote in Bedrängnis geraten.\n-Flugzeugträger sind mobile Luftstützpunkte von denen Kampfflugzeuge und Bomber starten können. Die können auch U-Boote unter Wasser entdecken.\n-U-Boote sind für konventionellen Radar unsichtbar und tragen atomare Mittelstreckenraketen.\nBauen Sie eine Flotte aus sechs Schiffen, jeweils drei Schlachtschiffe und drei Flugzeugträger.
tutorial_m5battleshipinfo			Flotten werden als einzelne Einheit gesteuert. Wird ein Marschbefehl gegeben, bewegen Sie sich zusammen. Erhalten Sie einen Angriffsbefehl, greifen Sie die Feindflotte so gut wie möglich als einzelne Einheit an.\n\nWählen Sie eine Ihrer Flotten aus, indem Sie auf ein beliebiges Schiff in der Flotte linksklicken.\n\nBewegen Sie dann die Flotte südlich, indem Sie auf Ihr Ziel rechtsklicken.
macosx_tutorial_m5battleshipinfo			Flotten werden als einzelne Einheit gesteuert. Wird ein Marschbefehl gegeben, bewegen Sie sich zusammen. Erhalten Sie einen Angriffsbefehl, greifen Sie die Feindflotte so gut wie möglich als einzelne Einheit an.\n\nWählen Sie eine Ihrer Flotten aus, indem Sie auf ein beliebiges Schiff in der Flotte linksklicken.\n\nBewegen Sie dann die Flotte südlich, indem Sie auf Ihr Ziel rechtsklicken (oder durch Strg-Klick).
tutorial_m5destroyenemy			Irgendwo im Atlantik sind zwei Feindflotten, finden und zerstören Sie sie mit Ihren Flotten.\n\n- Linksklicken Sie auf ein Schiff, um die gesamte Flotte auszuwählen.\n\n- Rechtsklicken Sie, um das Ziel für eine gewählte Flotte festzulegen.\n\nBeschleunigen Sie bei Bedarf die Zeit.
macosx_tutorial_m5destroyenemy			Irgendwo im Atlantik sind zwei Feindflotten, finden und zerstören Sie sie mit Ihren Flotten.\n\n- Linksklicken Sie auf ein Schiff, um die gesamte Flotte auszuwählen.\n\n- Rechtsklicken Sie (oder durch Strg-Klick), um das Ziel für eine gewählte Flotte festzulegen.\n\nBeschleunigen Sie bei Bedarf die Zeit.
tutorial_m5destroyenemy2			Ihre Flotten greifen feindliche Schiffe automatisch an, wenn sie in Reichweite gelangen. Schlachtschiffe eröffnen das Feuer und Flugzeugträger schicken Kampfflugzeuge.\n\nSie können auch den Kampf manuell steuern, linksklicken Sie zum Beispiel auf einen Flugzeugträger, um ihn auszuwählen, und linksklicken Sie dann auf ein feindliches Schiff, um es mit Flugzeugen anzugreifen.\n\nMarkieren Sie den Schalter Befehle in der Werkzeugleiste, um die aktuellen Angriffsbefehle Ihrer Flotte anzuzeigen.

tutorial_m5end			Mission 5 abgeschlossen. Klicken Sie auf Weiter, um mit Mission 6 fortzufahren.
tutorial_mission5failed			Sie haben alle Ihre Schiffe verloren, ohne den Feind zu zerstören und haben die Mission nicht erfüllt.\n\nKlicken Sie auf Mission neu starten, um es noch einmal zu versuchen.

tutorial_selectfleet_popup			Klicken Sie auf dieses Symbol, um mit der Verteilung der Flotten zu beginnen.
tutorial_addbattleship_popup			Klicken Sie auf dieses Einheitensymbol, um ein Schlachtschiff zur Flotte hinzuzufügen.
tutorial_addcarrier_popup			Klicken Sie auf dieses Einheitensymbol, um einen Flugzeugträger zur Flotte hinzuzufügen.
tutorial_deployfleet_popup			Linksklicken Sie, um Ihre Flotte in diesem Bereich zu platzieren.
tutorial_selectdeployedfleet_popup			Linksklicken Sie auf ein Schiff, um die gesamte Flotte auszuwählen.
tutorial_movefleet_popup			RECHTSKLICKEN Sie, um Ihre gesamte gewählte Flotte hierher zu bewegen.
macosx_tutorial_movefleet_popup			RECHTSKLICKEN Sie, um Ihre gesamte gewählte Flotte hierher zu bewegen.\n(Strg-Klick bei Maus mit einer Taste)
tutorial_destroyfleet_popup			Zerstören Sie die Feindflotte in diesem Gebiet.
tutorial_orderstoolbar_popup			Markieren Sie diesen Symbolleistenschalter, um Ihre Befehle zu zeigen.

# ==== MISSION 6 =====

tutorial_mission6start			Bis jetzt haben wir in Europa agiert und hatten die Sowjetunion als Feind. Dies ist aber nicht immer der Fall.\n\nIn dieser Mission ist Nordamerika Ihr Territorium und der Feind ist Südasien.\n\nMarkieren Sie den Schalter Territorium, um zu sehen, wer welches Gebiet kontrolliert.
tutorial_mission6subintro			In diesem Fall ist der der Pazifik der Schauplatz der Hauptkämpfe. Der Feind hat eine Reihe Atom-U-Boote vor der Westküste Amerikas postiert. Von dort aus kann er viele Ihrer Großstädte bombardieren.\n\nDie beste Waffe gegen U-Boote sind Flugzeugträger, denn sie können diese mit dem Sonar finden und mit Wasserbomben versenken.\n\nStationieren Sie eine Flotte Flugzeugträger vor Ihrer Westküste.
tutorial_mission6placesubs			Wir werden außerdem mit unsere eigenen U-Booten die Ostküste Chinas in Schutt und Asche legen.\n\nBauen Sie eine U-Boot-Flotte und platzieren Sie diese so nahe wie möglich an Ostchina.
tutorial_m6subinfo			U-Boote sind mit vielen Mittelstreckenraketen ausgestattet.\n\nAußerdem tauchen sie nicht auf dem Radar auf, bis sie auftauchen, wodurch sie unsichtbar sind und mit normalen Waffen nicht angegriffen werden können.\n\nBewegen Sie Ihre U-Boote ganz nahe an die Küste des Feindes und sammeln Sie ein paar MegaTote ein.
tutorial_m6destroysubs			Vor der Westküste Amerikas befinden sich zwei Feindflotten.\n\nGehen Sie mit einigen Flugzeugträgern in den Anti-U-Boot-Modus und zerblasen Sie die feindlichen U-Boote mit Wasserbomben.\n\nIhre Flugzeugträger haben unendlich viele Wasserbomben.\n\nBeschleunigen Sie bei Bedarf die Zeit.
tutorial_m6movesubs			U-Boote können vernichtende Wirkung zeigen, da sie zur feindlichen Küste heranschleichen und mit wenig oder keiner Vorwarnung zuschlagen können.\n\nBewegen Sie Ihre U-Boote in Reichweite von Ostchina.
tutorial_m6enemylaunch			Der Feind hat von seinen Silos aus Raketen auf unsere Städte abgeschossen.\n\nWir werden mit unseren U-Booten in der Nähe seine Bodensilos vernichten, bevor zu viel Schaden anrichten können.\n\nWechseln Sie Ihre U-Boote in den MSR-Abschussmodus und zerstören\nSie die feindlichen Silos!
tutorial_m6launchexplanation			Wir haben hier zwar keine Radarabdeckung, wir können aber trotzdem die Feindsilos sehen.\n\nDenn Silos geben mit dem Abschuss von Raketen jedem Ihre Position preis.\n\nSilos im Abschussmodus können sich nicht verteidigen, dies ist also die perfekte Gelegenheit.\n\nSobald seine Silos zerstört sind, ist er schutzlos und wir können im Gegenschlag die Städte anvisieren und richtigen Schaden verursachen!
tutorial_m6end			Mission 6 abgeschlossen. Klicken Sie auf Weiter, um zur letzten Trainingsmission zu gelangen.

tutorial_territorytoolbar_popup			Markieren Sie diesen Symbolleistenschalter, um die Territorien jedes Spielers zu zeigen.
tutorial_addsub_popup			Klicken Sie auf dieses Einheitensymbol, um ein U-Boot zur Flotte hinzuzufügen.
tutorial_movesubs_popup			RECHTSKLICKEN Sie hier, um Ihre U-Boote in Reichweite von Ostchina zu bewegen.
macosx_tutorial_movesubs_popup			RECHTSKLICKEN Sie hier, um Ihre U-Boote in Reichweite von Ostchina zu bewegen.\n(Strg-Klick bei Maus mit einer Taste)
tutorial_switchtodepth_popup			Rechtsklicken Sie auf diesen Flugzeugträger und wechseln Sie in den Anti-U-Boot-Modus.
macosx_tutorial_switchtodepth_popup			Rechtsklicken Sie auf diesen Flugzeugträger und wechseln Sie in den Anti-U-Boot-Modus.\n(Strg-Klick bei Maus mit einer Taste)
tutorial_destroysubs_popup			Bewegen Sie Ihre Flugzeugträger und zerstören Sie die feindlichen U-Boote in diesem Gebiet.
tutorial_substonuke_popup			Rechtsklicken Sie auf dieses U-Boot und wechseln Sie in den KSR-Abschussmodus.
macosx_tutorial_substonuke_popup			Rechtsklicken Sie auf dieses U-Boot und wechseln Sie in den KSR-Abschussmodus.\n(Strg-Klick bei Maus mit einer Taste)
tutorial_nukesilo_popup			Linksklicken Sie wiederholt auf dieses Silo, um von Ihren U-Booten Raketen darauf abzuschießen.


# ==== MISSION 7 =====

tutorial_mission7start			Dies ist Ihre letzte Trainingsmission. Sie müssen in einem echten Kampf gegen eine KI alles einsetzen, was Sie gelernt haben.\n\nUm zu gewinnen, müssen Sie mehr Punkte machen als der Feind, indem Sie dessen Städte bombardieren. Sie bekommen 2 Punkte für jeden getöteten Fein, verlieren aber 1 Punkt für jeden Ihrer Zivilisten, der stirbt.\n\nIn diesem Spiel sind Sie Nordamerika und der Feind ist Südasien.
tutorial_mission7enemyattack			Der Feind feuert seine Raketen auf Sie ab!\n\nHaben Sie U-Boote oder Flugzeugträger vor der Küste Chinas, dann zerstören Sie mit ihnen die Feindsilos, solange sie schutzlos sind.\n\nLassen Sie Ihre Bodensilos im Luftabwehrmodus, um die Raketen abzuschießen.
tutorial_mission7retaliate			Der Feind hat jetzt die meisten seiner Raketen abgeschossen.\n\nBenutzen Sie Ihre Bodensilos und verbleibenden Atomraketen für einen umfassenden Gegenschlag gegen die Städte des Feindes in China!
tutorial_m7victory			Glückwunsch! Sie haben erfolgreich den KI-Gegner geschlagen und das Defcon Tutorial abgeschlossen!
tutorial_mission7failed			Sie wurden von der KI geschlagen und haben die Mission nicht erfüllt.\n\nTipps:\n-Bringen Sie Ihre U-Boote direkt an die Küste des Feindes, damit Sie seine Silos zerstören können, bevor zu viele Raketen abgeschossen wurden.\nFinden und zerstören Sie mit Ihren Flugzeugträgern die feindlichen U-Boote, bevor Sie angreifen können.\n\nKlicken Sie auf Mission neu starten, um es noch einmal zu versuchen.

tutorial_showterritory_popup			Markieren Sie diesen Schalter, um Position Ihrer Feinde zu zeigen.
tutorial_m7placeradar_popup			Der Feind wird von der Ostküste Chinas kommen. Stationieren Sie Ihr Radar entlang der Westküste, um eine maximale Abdeckung zu erreichen.
tutorial_m7placesilos_popup			Stationieren Sie Ihre Silos zur Verteidigung Ihrer großen Städte, sie sind die Hauptziele des Feindes.
tutorial_m7placeairbases_popup			Stationieren Sie Ihre Luftstützpunkte entlang der Westküste von Amerika. Mit ihnen greifen wir Schiffe an, die unsere Küste erreichen, und zerstören sie.
tutorial_placefleetspacific_popup			Der Feind wird Schiffe über den Atlantik schicken, um uns anzugreifen. Sie sollten den Hauptteil Ihrer Flotten im Pazifik stationieren, um sie abzufangen.
tutorial_m7fleettarget_popup			Bringen Sie Ihre Flotten vor die Ostküste Chinas, um auf kurze Entfernung zuzuschlagen.\n\nLINKSKLICKEN, um eine ganze Flotte auszuwählen.\n\nRECHTSKLICKEN, um eine ganze Flotte zu bewegen.
macosx_tutorial_m7fleettarget_popup			Bringen Sie Ihre Flotten vor die Ostküste Chinas, um auf kurze Entfernung zuzuschlagen.\nLINKSKLICKEN, um eine ganze Flotte auszuwählen.\nRECHTSKLICKEN (oder durch Strg-Klick), um eine ganze Flotte zu bewegen.
tutorial_m7scoutchina_popuup			Starten Sie Flugzeuge von Ihren Flugzeugträgern in der Nähe, um das Gebiet nach feindlichen Bodenanlagen abzusuchen.
tutorial_m7enemysubs_popup			Feindliche U-Boote schießen Raketen auf Ihre Städte ab! Starten Sie Kampfflugzeuge und Bomber von Ihren Luftstützpunkten in der Nähe, um sie zu zerstören!


# =============================================================================
# Unit Info
# =============================================================================

unitinfo_title			EINHEITENINFO
unitinfo_title2			(keine Einheit gewählt)

unitinfo_fighter			Schnelle Kurzstrecken-Kampfflugzeuge.\n+ Effektiv gegen Bomber\n+ Gute Aufklärer\n- Können leicht von Schlachtschiffen und Silos zerstört werden
unitinfo_silo			Dienen als Raketenabschuss- und Luftabwehrbasen.\n+ Großer Vorrat an Langstreckenraketen\n+ Starke Luftabwehrgeschütze\n+ Verstärkt gegen Atomangriffe\n- Raketenabschuss verrät allen Position\n- Langsame Wechselzeiten
unitinfo_radar			Bietet Radarabdeckung für Ihr Territorium.\n+ Längste verfügbare Radarreichweite\n- Kann leicht durch Atomwaffen zerstört werden
unitinfo_bomber			Vielseitiges Langstreckenflugzeug.\n+ Trägt einzelne Kurzstreckenrakete\n+ Raketenstart erscheint nicht auf Feindradar\n+ Effektiv gegen Schiffe\n- Kann einfach von Kampfflugzeugen abgeschossen werden\n- Langsam
unitinfo_battleship			Leistungsstarkes Kanonenboot mit starken Schnellfeuerwaffen\n+ Effektiv gegen viele Ziele\n- Verwundbar gegenüber U-Booten und Bombern
unitinfo_sub			Mächtige Tarneinheit mit Atomraketen.\n+ Unsichtbar auf konventionellem Radar\n+ Große Menge Mittelstreckenraketen\n+ Sehr verwundbar , wenn aufgetaucht\n- Raketenabschuss verrät allen Position\n- Keine Radarreichweite
unitinfo_carrier			Mobile Trägereinheit für Flugzeuge.\n+ Kann Kampfflugzeuge und Bomber starten\n+ Kann Wasserbomben gegen U-Boote abwerfen\n- Kann sich nicht direkt selbst verteidigen
unitinfo_nuke			Leistungsfähiger atomarer Sprengkopf\n+ Unglaubliche Zerstörungskraft\n- Verwundbar gegen Luftabwehrfeuer
unitinfo_airbase			Abschusspunkt für Kampfflugzeuge und Bomber\n+ Viele Bomber\n+ Regeneriert nach und nach Kampfflugzeuge\n- Leicht durch Atomrakete zerstört


# =============================================================================
# Demo screen
# =============================================================================

demo_top1                           Kaufen Sie jetzt das Spiel, um Defcon richtig zu erleben
demo_middle1                        Keine Spielerbegrenzung: Umfassender Genozid mit sechs Spielern!
demo_middle2                        Alternative Spielmodi:
demo_middle3                        Büro-Modus: Spielen Sie Defcon in Echtzeit den ganzen Tag lang
demo_middle4                        Speed-Defcon: Das Ende ist nach 15 Minuten da – instinktiv und brutal
demo_middle5                        Diplomatie: Alle Spieler beginnen in der selben Allianz
demo_middle6                        Big World: Die Welt ist doppelt so groß - für Liebhaber langer Spiele
demo_bottom1                        Sofortige Aktivierung für nur
demo_bottom2                        £10     $17,50     €14

demo_bottom1_steam                  Sofortige Aktivierung für nur
demo_bottom2_steam                  $14,95

demo_bottom1_retail                 KAUFEN SIE DIE NOCH HEUTE DIE VOLLVERSION VON DEFCON
demo_bottom2_retail                 BESUCHEN SIE IHREN LIEBLINGSHÄNDLER FÜR PC-SPIELE

demo_bottom1_retail_uk              KAUFEN SIE DIE NOCH HEUTE DIE VOLLVERSION VON DEFCON
demo_bottom2_retail_uk              BESUCHEN SIE IHREN LIEBLINGSHÄNDLER FÜR PC-SPIELE

demo_bottom1_macosx                 Sofortige Aktivierung für nur
demo_bottom2_macosx                 $25,00


# =============================================================================
# Lobby Overlays
# =============================================================================

overlay_0_1			--------------------------
overlay_0_2			-    D E F C O N
overlay_0_3			--------------------------
overlay_0_4			-ENTWICKELT DURCH
overlay_0_5			CHRIS DELAY
overlay_0_6			GARY CHAMBERS\n
