# =============================================================================
# DEFCON LANGUAGE FILE
#
# Format:
# stringId                  translation
#
#
# A hash at the start of a line indicates a comment
# StringIDs MUST be left untouched during translation
#
# =============================================================================


# =============================================================================
# Name of the language in the language
# =============================================================================

lang                                English
tutorial_mission6subintro           In this case, the Pacific Ocean is a crucial battleground.  The enemy has positioned a number of Nuclear Submarines off the West Coast of America.  From there they will be able to nuke many of our major cities.\n\nThe best weapon against enemy Subs is the Carrier - it can use Sonar to locate subs under water, and it can drop Depth Charges to sink them.\n\nDeploy a fleet of Carriers off your West Coast.
tutorial_mission6placesubs          We are also going to use our own Subs to obliterate the East Coast of China in retaliation.\n\nCreate a fleet of Subs and place them as near to Eastern China as you can.  
tutorial_m6subinfo                  Subs carry a large supply of Medium Range Nukes.\n\nCrucially, Subs do not appear on enemy radar until they surface, which makes them invisble and immune to standard weapons fire.\n\nMove your Subs as near to the enemy coastline as you can, and lets rack up some MegaDeaths.
tutorial_m6destroysubs              There are two fleets of enemy subs hidden off the West Coast of America.\n\nSwitch some of your Carriers to Anti-Submarine mode and blow the enemy Subs out of the water with Depth Charges.\n\nYour Carriers have unlimited Depth Charges.\nAccelerate time if you need to.
tutorial_m6movesubs                 Subs can be used to devastating effect because they can sneak up on enemy coastlines and strike with little or no warning.\n\nMove your subs to within striking distance of Eastern China.
tutorial_m6enemylaunch              The enemy has started launching Nukes at our Cities from their Ground Silos!\n\nWe will use our nearby Subs to destroy their Ground Silos before they can do too much damage.\n\nSwitch your Subs into MRBM Launch mode and destroy the enemy Silos!
tutorial_m6launchexplanation        Even though we have no Radar Coverage of the area, we can still see the enemy Silos.\n\nThis is because Silos give away their location to everyone when they launch their Nukes.\n\nSilos in Launch Mode are unable to defend themselves, so this is the perfect opportunity to strike.\n\nOnce their Silos are destroyed they will be defenseless - so target their cities in Retaliation and do some real damage!
tutorial_m6end                      Mission 6 completed.  Click Next to move on to your final training Mission.

tutorial_territorytoolbar_popup     Highlight this toolbar button to show the Territories of each Player.
tutorial_addsub_popup               Click on this unit icon to add a Sub to your Fleet.
tutorial_movesubs_popup             RIGHT CLICK here to move your Subs to within striking range of East China.
macosx_tutorial_movesubs_popup      RIGHT CLICK here to move your Subs to within striking range of East China.\nCtrl-click if you have a one-button mouse.
tutorial_switchtodepth_popup        Right Click on this Carrier and switch it into Anti-Submarine mode.
macosx_tutorial_switchtodepth_popup Right Click on this Carrier and switch it into Anti-Submarine mode.\nCtrl-click if you have a one-button mouse.
tutorial_destroysubs_popup          Move your Carriers here and destroy the enemy Subs in this area.
tutorial_substonuke_popup           Right Click on this Sub and switch it into MRBM Launch mode.
macosx_tutorial_substonuke_popup    Right Click on this Sub and switch it into MRBM Launch mode.\nCtrl-click if you have a one-button mouse.
tutorial_nukesilo_popup             Left Click repeatedly on this Silo to launch nukes at it from your Subs.


# ==== MISSION 7 =====

tutorial_mission7start              This is your final training mission. You'll need to apply everything you've learnt in a real battle against an AI opponent.\n\nIn order to win you'll need to score more points than the enemy by Nuking their cities.  You will score 2 points for every enemy kill - but you will lose 1 point for every one of your civilians that dies.\n\nIn this game you are North America and the enemy is South Asia.  
tutorial_mission7enemyattack        The enemy is launching his missiles at you!\n\nIf you have any subs or Carriers near the coast of China, use them to destroy the enemy Silos while they are defenseless.\n\nLeave your Ground Silos in Air Defense mode to shoot down the incoming Nukes.
tutorial_mission7retaliate          The enemy has launched most of its missiles now.\n\nUse your Ground Silos and remaining nukes to launch a full scale retaliation against the enemy cities in China!
tutorial_m7victory                  Congratulations! You have successfully defeated the AI opponent and completed the Defcon Tutorial!
tutorial_mission7failed             You have been beaten by the AI and have failed the mission.\n\nTips:\n-Try to get your Subs right up to the enemy coastline, so you can destory their Silos before they launch too many of their nukes.\nUse your Carriers to find and destroy the enemy subs before they attack.\n\nClick Restart to try again.

tutorial_showterritory_popup        Highlight this button to show the location of your enemies.
tutorial_m7placeradar_popup         The enemy will be coming from the East Coast of China. Deploy your Radar along your West coast for maximum coverage.
tutorial_m7placesilos_popup         Deploy your Silos to cover your major cities - they will be the enemy's Primary Targets.
tutorial_m7placeairbases_popup      Deploy your Airbases along the West Coast of America. We will use them to engage and destroy any enemy ships that reach our coast.
tutorial_placefleetspacific_popup   The enemy will send ships across the Pacific to attack us. You should deploy most of your Fleets in the Pacific to intercept them.
tutorial_m7fleettarget_popup        Try to get your fleets to the East Coast of China, in order to strike from close range.\nLEFT CLICK to select an entire fleet.\nRIGHT CLICK to move an entire fleet.
macosx_tutorial_m7fleettarget_popup Try to get your fleets to the East Coast of China, in order to strike from close range.\nLEFT CLICK to select an entire fleet.\nRIGHT CLICK (or Ctrl-Click) to move an entire fleet.
tutorial_m7scoutchina_popuup        Launch Fighters from your Carriers nearby, to scout the area for enemy Ground bases.
tutorial_m7enemysubs_popup          Enemy Subs are launching nukes at your cities!  Launch Fighters and Bombers from your nearby AirBases to destroy them!


# =============================================================================
# Unit Info
# =============================================================================

unitinfo_title                      UNIT INFO
unitinfo_title2                     (no unit selected)

unitinfo_fighter                    Fast, short range combat aircraft.\n+  Effective against Bombers\n+  Good at scouting\n-  Easily destroyed by battleships or Silos
unitinfo_silo                       Functions as Nuke launcher and Anti-Aircraft Platform.\n+  Large supply of Long Range Nukes\n+  Strong Anti-Aircraft guns\n+  Reinforced against Nuke hits\n-  Nuke Launch reveals location to all\n-  Slow switching times
unitinfo_radar                      Provides radar coverage to your territory.\n+  Longest radar range available\n-  Easily destroyed by Nuke hit
unitinfo_bomber                     Versatile, long range aircraft.\n+  Carries a single Short Range nuke\n+  Nuke launch does not show up on enemy radar\n+  Effective against Ships\n-  Easily shot down by Fighters\n-  Slow moving
unitinfo_battleship                 High-powered Gun-Boat with strong, fast firing weapons.\n+  Effective against multiple targets\n-  Vulnerable to Subs and Bombers
unitinfo_sub                        Powerful, Nuke carrying stealth unit.\n+  Invisible to conventional radar\n+  Large supply of Medium Range nukes\n-  Extremely vulnerable when surfaced\n-  Nuke Launch reveals location to all\n-  Vulnerable to Depth Charges\n-  Zero radar range
unitinfo_carrier                    Mobile Aircraft carrying unit.\n+  Can launch Fighters and Bombers\n+  Can drop Depth Charges against Subs\n-  Cannot directly defend itself
unitinfo_nuke                       High-yield Nuclear Warhead.\n+  Incredible destructive power\n-  Vulnerable to anti-aircraft fire
unitinfo_airbase                    Launch point for Fighters and Bombers.\n+  Large number of Bombers\n+  Regenerates fighters over time\n-  Easily destroyed by Nuke hit


# =============================================================================
# Demo screen
# =============================================================================

demo_top1                           Buy the game now to experience Defcon properly
demo_middle1                        No player limits: 6 player genocidal mayhem!
demo_middle2                        Alternative Game modes including:
demo_middle3                        Office Mode: Play Defcon in Realtime over an entire day
demo_middle4                        Speed Defcon: It's all over in 15 minutes - instinctive and brutal
demo_middle5                        Diplomacy: All players start on the same Alliance - how long will it last?
demo_middle6                        Big World: The world is twice as large - for those who love a long game
demo_bottom1                        Immediate Activation for just
demo_bottom2                        £10     $17.50     €14

demo_bottom1_retail                 BUY THE FULL-VERSION OF DEFCON TODAY
demo_bottom2_retail                 VISIT YOUR FAVORITE PC GAMES RETAILER

demo_bottom1_retail_uk              BUY THE FULL-VERSION OF DEFCON TODAY
demo_bottom2_retail_uk              VISIT YOUR FAVOURITE PC GAMES RETAILER

demo_bottom1_macosx                 Immediate Activation for just
demo_bottom2_macosx                 $25.00


# =============================================================================
# Lobby Overlays
# =============================================================================

overlay_0_1                         --------------------------
overlay_0_2                         -       D E F C O N
overlay_0_3                         --------------------------
overlay_0_4                         -CREATED BY
overlay_0_5                         CHRIS DELAY
overlay_0_6                         GARY CHAMBERS\n
overlay_0_7                         -SOUND DESIGN
overlay_0_8                         -AND PRODUCTION
overlay_0_9                         ALISTAIR LINDSAY
overlay_0_10                        MICHAEL MAIDMENT\n
overlay_0_11                        -PRODUCED BY
overlay_0_12                        -INTROVERSION SOFTWARE
overlay_0_13                        MARK MORRIS
overlay_0_14                        THOMAS ARUNDEL
overlay_0_15                        CHRIS DELAY
overlay_0_16                        JOHN KNOTTENBELT\n
overlay_0_17                        -PR AND MARKETING
overlay_0_18                        VICTORIA ARUNDEL\n
overlay_0_19                        -ADDITIONAL GRAPHIC DESIGN
overlay_0_20                        MORTEN ELGAARD PEDERSEN\n
overlay_0_21                        -SHIPPING
overlay_0_22                        WILL MORRIS\n
overlay_0_23                        -ADDITIONAL DEVELOPMENT
overlay_0_24                        FRANCOIS GAGNE

overlay_1_1                         ------------------------------------------
overlay_1_2                         -I N T R O V E R S I O N   S O F T W A R E
overlay_1_3                         ------------------------------------------\n
overlay_1_4                         MARK MORRIS                      DIRECTOR
overlay_1_5                         THOMAS ARUNDEL                   DIRECTOR
overlay_1_6                         CHRIS DELAY                      DIRECTOR
overlay_1_7                         JOHN KNOTTENBELT                 DIRECTOR\n
overlay_1_8                         GARY CHAMBERS                    DEVELOPMENT
overlay_1_9                         VICTORIA ARUNDEL                 PR AND MARKETING
overlay_1_10                        WILL MORRIS                      SHIPPING

overlay_2_1                         ----------------------
overlay_2_2                         -AVAILABLE SIMULATIONS
overlay_2_3                         ----------------------\n
overlay_2_4                         FALKEN'S MAZE
overlay_2_5                         BLACK JACK
overlay_2_6                         GIN RUMMY
overlay_2_7                         HEARTS
overlay_2_8                         BRIDGE
overlay_2_9                         CHECKERS
overlay_2_10                        CHESS
overlay_2_11                        POKER
overlay_2_12                        FIGHTER COMBAT
overlay_2_13                        GUERRILLA ENGAGEMENT
overlay_2_14                        DESERT WARFARE
overlay_2_15                        AIR-TO-GROUND ACTIONS
overlay_2_16                        THEATREWIDE TACTICAL WARFARE
overlay_2_17                        THEATREWIDE BIOTOXIC AND CHEMICAL WARFARE\n
overlay_2_18                        GLOBAL THERMONUCLEAR WAR

overlay_3_1                         -----------------------------------
overlay_3_2                         - CIVILIAN TARGETS IN MEGADEATHS
overlay_3_3                         -----------------------------------\n
overlay_3_4                         LOS ANGELES                    3.3
overlay_3_5                         NEW YORK                       7.3
overlay_3_6                         CHICAGO                        3.0
overlay_3_7                         WASHINGTON DC                  4.0
overlay_3_8                         DALLAS                         1.0
overlay_3_9                         DETROIT                        1.1
overlay_3_10                        PARIS                          2.2
overlay_3_11                        BERLIN                         1.9
overlay_3_12                        LONDON                         7.7
overlay_3_13                        LENINGRAD                      4.9
overlay_3_14                        MOSCOW                         8.7
overlay_3_15                        ROME                           2.8
overlay_3_16                        TOKYO                          8.4
overlay_3_17                        SINGAPORE                      2.6
overlay_3_18                        BANGKOK                        4.7
overlay_3_19                        BOMBAY                         8.2
overlay_3_20                        MEXICO                         8.8
overlay_3_21                        RIO DE JANEIRO                 5.6
overlay_3_22                        CAIRO                          6.1
overlay_3_23                        ISTANBUL                       5.5
overlay_3_24                        BEIJING                        5.5
overlay_3_25                        SHANGHAI                       6.3
overlay_3_26                        DELHI                          4.9

overlay_4_1                         -----------------------------------------------
overlay_4_2                         -   US AIR FORCE PROJECTED LOSSES (PERCENT)
overlay_4_3                         -----------------------------------------------\n
overlay_4_4                         AEROSPACE DEFENSE COMMAND                   23
overlay_4_5                         AIR COMBAT COMMAND                          76
overlay_4_6                         AIR EDUCATION AND TRAINING COMMAND          24
overlay_4_7                         AIR FORCE COMMUNICATIONS COMMAND            68
overlay_4_8                         AIR FORCE INTELLIGENCE COMMAND              58
overlay_4_9                         AIR FORCE LOGISTICS COMMAND                 78
overlay_4_10                        AIR FORCE RESERVE COMMAND                   14
overlay_4_11                        AIR FORCE SPACE COMMAND                     12
overlay_4_12                        AIR FORCE SPECIAL OPERATIONS COMMAND        56
overlay_4_13                        AIR FORCE SYSTEMS COMMAND                   86
overlay_4_14                        AIR MOBILITY COMMAND                        87
overlay_4_15                        ALASKAN AIR COMMAND                         92
overlay_4_16                        HEADQUARTERS COMMAND, USAF                  85
overlay_4_17                        NORTHEAST AIR COMMAND                       75
overlay_4_18                        PACIFIC AIR COMMAND                         91
overlay_4_19                        PACIFIC AIR FORCES                          85
overlay_4_20                        SPECIAL WEAPONS COMMAND                     67
overlay_4_21                        STRATEGIC AIR COMMAND                       85
overlay_4_22                        TACTICAL AIR COMMAND                        91
overlay_4_23                        3D AIR DIVISION                             75
overlay_4_24                        UNITED STATES AIR FORCES IN EUROPE          79
overlay_4_25                        UNITED STATES AIR FORCES SOUTHERN COMMAND   65

overlay_5_1						    -----------------------------------------------------------------
overlay_5_2	                        -       EFFECTS OF RADIATION EXPOSURE ON HUMAN PHYSIOLOGY       -
overlay_5_3	                        -----------------------------------------------------------------\n
overlay_5_4                         -LESS THAN 1 SV (5O–1OO REM) 
overlay_5_5                           MILD RADIATION SICKNESS WITH HEADACHE AND INCREASED RISK OF 
overlay_5_6                           INFECTION DUE TO DISRUPTION OF IMMUNITY CELLS. TEMPORARY MALE
overlay_5_7                           STERILITY IS POSSIBLE.\n
overlay_5_8                         1–2 SV (1OO–2OO REM)       (LIGHT)      1O% FATALITY AFTER 30 DAYS
overlay_5_9                         2–3 SV (2OO–3OO REM)       (MODERATE)   35% FATALITY AFTER 30 DAYS
overlay_5_10                        3–4 SV (3OO–4OO REM)       (SEVERE)     5O% FATALITY AFTER 30 DAYS 
overlay_5_11                        4–6 SV (4OO–6OO REM)       (ACUTE)      6O% FATALITY AFTER 30 DAYS 
overlay_5_12                        1O–5O SV (1,OOO–5,OOO REM) (ACUTE)     1OO% FATALITY AFTER 7 DAYS\n
overlay_5_13                        -5O–8O SV (5,OOO–8,OOO REM) 
overlay_5_14                          IMMEDIATE DISORIENTATION AND COMA IN SECONDS OR MINUTES. 
overlay_5_15                          DEATH OCCURS AFTER A FEW HOURS BY TOTAL COLLAPSE OF NERVOUS SYSTEM.\n 
overlay_5_16                        - MORE THAN 8O SV (>8,OOO REM)         IMMEDIATE DEATH.

overlay_6_1                         -----------------------------------------------
overlay_6_2                         - US NUCLEAR BOMBS - PRODUCED YIELD AND WEIGHT 
overlay_6_3                         -----------------------------------------------\n 
overlay_6_4                         MK-1      5      15-16KT           8,900 LBS 
overlay_6_5                         MK-3    120      18-49KT          10,300 LBS 
overlay_6_6                         MK-4    550       1-32KT   10,800-10,900 LBS 
overlay_6_7                         MK-5    140      6-120KT     3,025-3,125 LBS 
overlay_6_8                         MK-6   1100      8-160KT     7,600-8,500 LBS 
overlay_6_9                         MK-7   1800       8-61KT     1,645-1,700 LBS 
overlay_6_10                        MK-8     40      25-30KT     3,230-3,280 LBS 
overlay_6_11                        MK-11    40      25-30KT     3,210-3,500 LBS 
overlay_6_12                        MK-12   250      12-14KT     1,000-1,200 LBS 
overlay_6_13                        MK-14     5        5-7MT   28,954-31,000 LBS 
overlay_6_14                        MK-15  1500    1.6-3.9MT           7,600 LBS 
overlay_6_15                        MK-16     5        6-8MT   39,000-42,000 LBS 
overlay_6_16                        MK-17   200      10-15MT   41,400-42,000 LBS 
overlay_6_17                        MK-18    90        500KT           8,600 LBS 
overlay_6_18                        MK-21   275        4-5MT   15,000-17,700 LBS 
overlay_6_19                        MK-24   105      10-15MT   41,400-42,000 LBS 
overlay_6_20                        MK-28  4500   70KT-1.1MT     1,700-2,320 LBS 
overlay_6_21                        MK-36   940      9-10 MT   17,500-17,700 LBS 
overlay_6_22                        MK-39   700       3-4 MT     6,650-6,750 LBS 
overlay_6_23                        MK-41   500        25 MT   10,500-10,670 LBS 
overlay_6_24                        MK-43  1000     70KT-1MT     2,060-2,125 LBS 
overlay_6_25                        MK-53   350         9 MT     8,850-8,900 LBS 
overlay_6_26                        MK-57  3100      5-20 KT         490-510 LBS 
overlay_6_27                        MK-61  3150    80-340 KT         695-716 LBS 
overlay_6_28                        MK-83   650  UP TO 1.2KT           2,400 LBS

overlay_7_1                         -------------------------------------------------
overlay_7_2                         -     RADIATION SICKNESS: SYMPTOMS AND SIGNS 
overlay_7_3                         -------------------------------------------------\n 
overlay_7_4                         NAUSEA AND VOMITING 
overlay_7_5                         DIARRHEA 
overlay_7_6                         SKIN BURNS (REDNESS, BLISTERING) 
overlay_7_7                         WEAKNESS, FATIGUE, EXHAUSTION, FAINTING 
overlay_7_8                         DEHYDRATION 
overlay_7_9                         INFLAMMATION OF EXPOSED AREAS 
overlay_7_10                        HAIR LOSS 
overlay_7_11                        ULCERATION OF THE ORAL MUCOSA 
overlay_7_12                        ULCERATION OF THE ESOPHAGUS 
overlay_7_13                        ULCERATION OF THE STOMACH 
overlay_7_14                        ULCERATION OF THE INTESTINES 
overlay_7_15                        VOMITING BLOOD 
overlay_7_16                        BLOODY STOOL 
overlay_7_17                        BLEEDING FROM THE NOSE, MOUTH, GUMS, AND RECTUM 
overlay_7_18                        BRUISING 
overlay_7_19                        SLOUGHING OF SKIN 
overlay_7_20                        OPEN SORES ON THE SKIN

overlay_8_1                         ---------------------------------------------------------------------- 
overlay_8_2                         -ISOTOPE      NA        HALF-LIFE (YEARS)      DM     DE(MEV)    DP 
overlay_8_3                         ----------------------------------------------------------------------\n 
overlay_8_4                         PU-238   SYNTHETHIC                 88         SF        -       - 
overlay_8_5                         PU-239   SYNTHETHIC             24,110         SF        -       - 
overlay_8_6                         U-232    SYNTHETHIC               68.9       a + SF    5.414   TH-228 
overlay_8_7                         U-233    SYNTHETHIC            159,200       SF + a    4.909   TH-229 
overlay_8_8                         U-234       0.0058%            245,500       SF + a    4.859   TH-230 
overlay_8_9                         U-235         0.72%        703,800,000       SF + a    4.679   TH-231 
overlay_8_10                        U-236    SYNTHETHIC         23,420,000       SF + a    4.572   TH-232 
overlay_8_11                        U-238       99.275%      4,468,000,000       SF + a    4.270   TH-234

overlay_9_1                         HOW ABOUT A NICE GAME OF CHESS?

overlay_10_1                        ---------------------------------------------------
overlay_10_2                        -               STRATEGIC WORLD TARGETS          
overlay_10_3                        ---------------------------------------------------\n
overlay_10_4                        Norad           38 44' 39.68" N     104 50' 48.18" W 
overlay_10_5                        Keflavik        63 59' 07.71" N      22 36' 20.06" W 
overlay_10_6                        Brussel         50 50' 54.79" N       4 21' 36.66" E 
overlay_10_7                        Napoli          40 51' 14.64" N      14 17' 21.84" E 
overlay_10_8                        Mons (Belgium)  50 26' 32.55" N       3 57' 28.44" E 
overlay_10_9                        Norfolk         36 56' 59.84" N      76 19' 48.57" W 
overlay_10_10                       Pearl Harbour   21 21' 48.77" N     157 57' 39.31" W 
overlay_10_11                       Ramstein        49 26' 13.33" N       7 35' 54.11" E 
overlay_10_12                       Kadena (Okinawa)26 21' 28.86" N     127 46' 13.53" E 
overlay_10_13                       Rota (Spain)    36 38' 15.33" N         21' 11.90" W 
overlay_10_14                       Vladivostok     43 06' 41.86" N     131 53' 23.22" E 
overlay_10_15                       Sevastopol      44 36' 56.88" N      33 34' 46.83" E 
overlay_10_16                       Leningrad       59 57' 39.60" N      30 18' 41.85" E 
overlay_10_17                       Murmansk        68 58' 14.59" N      33 01' 11.20" E 
overlay_10_18                       Tatishchevo     51 40' 37.79" N      45 36' 46.89" E 
overlay_10_19                       Barnaul         53 19' 39.80' N      83 45' 35.86" E

overlay_11_1                        --------------------------------------------------- 
overlay_11_2                        -           SIGNIFICANT NUCLEAR DETONATIONS 
overlay_11_3                        --------------------------------------------------- 
overlay_11_4                        -DATE           NAME            YIELD (KT)  COUNTRY\n 
overlay_11_5                        JUL 16 1945     TRINITY             19      USA     
overlay_11_6                        AUG  6 1945     LITTLE BOY          15      USA     
overlay_11_7                        AUG  9 1945     FAT MAN             21      USA     
overlay_11_8                        AUG 29 1949     JOE 1               22      USSR     
overlay_11_9                        OCT  3 1952     HURRICANE           25      UK     
overlay_11_10                       NOV  1 1952     IVY MIKE        10,200      USA     
overlay_11_11                       AUG 12 1953     JOE 4              400      USSR     
overlay_11_12                       MAR  1 1954     CASTLE BRAVO    15,000      USA     
overlay_11_13                       NOV 22 1955     RDS-37           1,600      USSR     
overlay_11_14                       NOV  8 1957     GRAPPLE X        1,800      UK     
overlay_11_15                       FEB 13 1960     GERBOISE BLEUE      60      FRANCE     
overlay_11_16                       OCT 31 1961     TSAR BOMBA      50,000      USSR     
overlay_11_17                       OCT 16 1964     596                 22      CHINA     
overlay_11_18                       JUN 17 1967     TEST NO. 6       3,300      CHINA     
overlay_11_19                       AUG 24 1968     CANOPUS          2,600      FRANCE     
overlay_11_20                       MAY 18 1974     SMILING BUDDHA      12      INDIA     
overlay_11_21                       MAY 11 1998     SHAKTI I            43      INDIA     
overlay_11_22                       MAY 13 1998     SHAKTI II           12      INDIA     
overlay_11_23                       MAY 28 1998     CHAGAI-I             9      PAKISTAN

overlay_12_1                        -----------------------------------------
overlay_12_2                        -       BETA TESTERS (PAGE 1 OF 2)
overlay_12_3                        -----------------------------------------\n
overlay_12_4                        ASHLEY ‘NEOTHERMIC’ PINNER
overlay_12_5                        ALESSANDRO ‘FIRESHIP4’ PEDRINA MCCARTHY
overlay_12_6                        BILL ‘BIPP5’ RASTELLO
overlay_12_7                        BRODY ‘LEONAKEN’ BROOKS
overlay_12_8                        CHARLES BROWN
overlay_12_9                        CHRIS BROWN
overlay_12_10                        CHRIS ‘SUVIR’ BOYD
overlay_12_11                       CHRISTOPH KOEHLER
overlay_12_12                       CORPORATESPECTRE
overlay_12_13                       DAMJAN ‘VIRUSEX’ BELAVIC
overlay_12_14                       DANIEL ‘DK’ KARLING
overlay_12_15                       DEREK ‘PUNISHER BASS’ SCHOTT
overlay_12_16                       FURRIES
overlay_12_17                       HENNING HORN
overlay_12_18                       HEWAT KENNEDY
overlay_12_19                       JASON ‘JAYSC’ TIEN
overlay_12_20                       JENS WIECHERS
overlay_12_21                       JO STANSFIELD
overlay_12_22                       JOHAN ‘ZARKOW’ MUNKESTAM
overlay_12_23                       JOSHUA ‘MIAH’ CLAYTON
overlay_12_24                       JUSTIN ‘ATELOPHOBIA’ GOTTULA
overlay_12_25                       JØRGEN ‘DIRTY HARRY POTTER’ BERTHELSEN
overlay_12_26                       KASPER ‘AAARGH’ MEERTS
overlay_12_27                       LEANDER ‘ELDIABLO’ HAMBLEY
overlay_12_28                       LUKE HOSCHKE
overlay_12_29                       MARIUSZ ‘MANDI^ATO’ DANILEWICZ

overlay_13_1                        -----------------------------------------
overlay_13_2                        -       BETA TESTERS (PAGE 2 OF 2)
overlay_13_3                        -----------------------------------------\n
overlay_13_4                        MARK ‘LLAMABOY’ VINE
overlay_13_5                        MICHAEL NICHOLLS
overlay_13_6                        MORTEN ‘NUTTER’ PEDERSEN
overlay_13_7                        MR. VIOLATOR
overlay_13_8                        NEIL ROSS
overlay_13_9                        NIGEL ‘MOUSE’ MORSE
overlay_13_10                        OLIVER ‘AGENTX 24’ GRUBIN
overlay_13_11                       PHYDAUX
overlay_13_12                       PIOTR ‘THEPIACHU’ PIASECKI
overlay_13_13                       PITBEAST
overlay_13_14                       PROZAK
overlay_13_15                       RICHARD ‘FALSE’ LA CHARITÉ III
overlay_13_16                       SAM ‘MAS’ NORRIS
overlay_13_17                       SHAWN ‘TRICKFRED’ MACIVER
overlay_13_18                       SIMON ‘N3O77’ SPARKS
overlay_13_19                       STEVEN NOONAN
overlay_13_20                       SWIL232
overlay_13_21                       THE GOLDFISH
overlay_13_22                       THIERRY ‘BOLKA’ MARTIN
overlay_13_23                       TIM BAVERSTOCK
overlay_13_24                       TOBY ‘THE TUBSTAR’ INNOCENT
overlay_13_25                       TOUMAZ
overlay_13_26                       VIRGINIJUS ‘LEGIO’ PAMPIKAS
overlay_13_27                       WILL ‘MIZER’ NEW
overlay_13_28                       WOLFLORD
overlay_13_29                       ZACHARY ‘XYZYXX’ PARKER

overlay_14_1                        -----------------------------------------
overlay_14_2                        -            MAC BETA TESTERS
overlay_14_3                        -----------------------------------------\n
overlay_14_4                        ALASTAIR ‘PROPHILE’ LYNN
overlay_14_5                        ALEC ‘HAMSTER’ INGULSRUD
overlay_14_6                        ANDREW ‘ANDCARNE’ CARNE
overlay_14_7                        BOLKO ‘KRAUTI’ MAASS
overlay_14_8                        BRIAN DICK
overlay_14_9                        BRYCE ‘ZOMBAT’ HOMICK
overlay_14_10                       CIARÁN ‘MONTYPHY’ EATON
overlay_14_11                       DOMINIC ‘REFRIDGERON’ WHITE
overlay_14_12                       JACK ‘DASH RANTIC’ CARLSON
overlay_14_13                       JAMES ‘CONSUL BOB’ GOOCH
overlay_14_14                       JAMES ‘LASTOF’ TITMUSS
overlay_14_15                       JONAS ‘FREQ245’ MIRWALD
overlay_14_16                       KIRK ‘KAUTHOR’ STALEY
overlay_14_17                       MARK ‘MRXAK’ PETCAVAGE
overlay_14_18                       MIKE ASH
overlay_14_19                       NATHANIEL ‘MACKILROY’ PORTER
overlay_14_20                       NICK ‘NFREADER’ FARLEY
overlay_14_21                       OWEN ‘MR ED209’ BILLCLIFFE
overlay_14_22                       PER ‘PV2B’ VON ZWEIGBERGK
overlay_14_23                       SOLRA BIZNA
overlay_14_24                       XANDER HENDERSON

overlay_15_1                        ----------------------------------------
overlay_15_2                        -     MAC PORT BY AMBROSIA SOFTWARE
overlay_15_3                        ----------------------------------------\n
overlay_15_4                        MIKE BLAGUSZEWSKI                PORTING
overlay_15_5                        MARCUS CONGE            APPLICATION ICON
overlay_15_6                        DAVID DUNHAM                     TESTING
overlay_15_7                        EVAN ‘SULTAN’ SMITH              TESTING
overlay_15_8                        -ADDITIONAL PORTING BY
overlay_15_9                        JOSHUA ‘MIAH’ CLAYTON
overlay_15_10                       STEVEN NOONAN\n
overlay_15_11                       ----------------------------------------
overlay_15_12                       -            LINUX PORT
overlay_15_13                       ----------------------------------------\n
overlay_15_14                       STEVEN NOONAN
overlay_15_15                       JOHN KNOTTENBELT
overlay_15_16                       JOSHUA ‘MIAH’ CLAYTON\n\n
overlay_15_17                       ----------------------------------------\n
overlay_15_18                       Translation Services provided by Game Localization Network Ltd.
