# =============================================================================
# DEFCON LANGUAGE FILE
#
# Format:
# stringId                  translation
#
#
# A hash at the start of a line indicates a comment
# StringIDs MUST be left untouched during translation
#
# =============================================================================


# =============================================================================
# Name of the language in the language
# =============================================================================

lang                                Polski
tray_icon_nuke_launches_detected    Wykryto odpalenia rakiet MRBM
tray_icon_enemy_subs_detected       Wykryto wrogie okr. podwodne


# =============================================================================
# Combat Attack Odds
# =============================================================================

odds_zero                           szanse: ¿adne
odds_vlow                           szanse: bardzo niskie
odds_low                            szanse: niskie
odds_med                            szanse: œrednie
odds_high                           szanse: wysokie
odds_vhigh                          szanse: bardzo wysokie


# =============================================================================
# Misc
# =============================================================================

unknown                             Nieznany

officemode_1                        Tryb Biurowy ma priorytet nad wybran¹ prêdkoœci¹
officemode_2                        i opcjami ekranu.

alien_attack                        *C zniszczony przez atak obcych
alien_invasion                      INWAZJA OBCYCH!
tornado_warning                     UWAGA, TORNADO!


# =============================================================================
# Tutorial
# =============================================================================

tutorial                            Samouczek
levelselect                         Wybierz poziom
tutorial_clicknext                  Kliknij "Dalej"
tutorial_restart_mission            Restart misji
tutorial_missioncomplete            MISJA UKOÑCZONA
tutorial_missionfailed              MISJA NIEUDANA
tutorial_mission                    MISJA *X
# X = mission number
tutorial_team_name_cpu              Wróg - CPU
tutorial_team_name_player           Gracz

tutorial_restart                    Restart
tutorial_next                       Dalej
tutorial_chapter_desc               ROZDZIA£ *C Z 7   -   *N
# C = Chapter Number, N = Chapter Name
tutorial_level                      Poziom *L
# L = Level Number

tutorial_levelname_1                Atak broni¹ atomow¹
tutorial_levelname_2                Obrona powietrzna
tutorial_levelname_3                Pokrycie radarowe
tutorial_levelname_4                Zwiad i bombardowanie
tutorial_levelname_5                Si³y nawodne
tutorial_levelname_6                Okrêty podwodne
tutorial_levelname_7                Globalna Wojna Termonuklearna

tutorial_popup                      Popup Samouczka
tutorial_clicknext_popup            Kliknij "Dalej", by kontynuowaæ.

# ==== MISSION 1 =====

tutorial_start                      Witaj w Samouczku gry Defcon.\n\nNauczysz siê wszystkiego, co potrzebujesz, by efektywnie kontrolowaæ swoje wojska.\n\nKliknij "Dalej", by kontynuowaæ.
tutorial_movecamera                 Zanim zaczniemy, musisz nauczyæ siê kontrolowaæ to, co widzisz.\n\nPunkt widzenia mo¿esz zmieniaæ, przesuwaj¹c mysz do odpowiedniego krañca ekranu.\n\nMo¿esz te¿ u¿ywaæ do tego klawiszy W-S-A-D.
tutorial_zoomcamera                 Za pomoc¹ kó³ka myszy przybli¿asz i oddalasz widok.\n\nMo¿esz te¿ u¿ywaæ do tego przycisków Q i E.
tutorial_movecamera2                Po wciœniêciu kó³ka myszy, mo¿esz po prostu przesuwaæ widok.\n\nKliknij "Dalej" jeœli nauczy³eœ siê kontrolowaæ widocznoœæ. Pora wysadziæ coœ w powietrze!
tutorial_silofocus                  Ten podœwietlony obiekt to Silos Rakietowy. Ma dwa tryby:\n\n - przy Ataku ICBM mo¿e strzelaæ miêdzykontynentalnymi rakietami atomowymi we wrogie cele\n\n - przy Obronie P-lot Bêdzie strzelaæ do wrogich rakiet i samolotów.\n\nTeraz potrzebujemy trybu Atak ICBM, by zniszczyæ pobliskie radary wroga.\n\nKliknij PPM, by prze³¹czyæ w tryb Atak ICBM.
#macosx_tutorial_silofocus           This highlighted object is a Missile Silo. It has two modes:\n\n - in ICBM Launch mode it can fire Nukes at enemy targets\n - in Air Defense mode it will shoot down enemy nukes and aircraft.\n\nWe need the Silo in ICBM Launch Mode so we can destroy the nearby enemy Radar Stations.\n\nRight Click on the Silo and change it into ICBM Launch Mode.\n(You can ctrl-click if you have a one-button mouse).
tutorial_mission1destroyradar       Zauwa¿, ¿e gdy silos przygotowuje siê do wystrzelenia ICBM, jego ikona zmienia siê na trójk¹t.\n\nU¿yj Silosu, by zniszczyæ radary wroga.

tutorial_mission1end                Misja 1 ukoñczona.\n\nKliknij "Dalej", by przejœæ do Misji 2.
tutorial_mission1failed             Wyczerpa³eœ rakiety ICBM, nie niszcz¹c celu. Nie wykona³eœ misji.\n\nKliknij "Restart", by zacz¹æ od nowa.

tutorial_silofocus_popup1           Kliknij PPM na Silos, by prze³¹czyæ go w tryb Atak ICBM.
#macosx_tutorial_silofocus_popup1    Right click on this Silo and change it into ICBM Launch Mode.\n(Ctrl-click if you have a one-button mouse)
tutorial_silofocus_selectpopup      Kliknij LPM na Silos, by go wybraæ.
tutorial_mission1destroyradar_popup Kliknij LPM na ten wrogi radar, by zaatakowaæ go atomówk¹.
#tutorial_mission1deselect_popup     Wciœnij spacjê, by odznaczyæ tê jednostkê.
tutorial_mission1deselect_popup     Wciœnij spacjê, by odznaczyæ tê jednostkê.

# ==== MISSION 2 =====

tutorial_mission2start              Na pocz¹tku ka¿dej gry w Defcon musisz ustawiæ swoje jednostki.\n\nOtwórz panel jednostek, by rozpocz¹æ ustawianie.
tutorial_m2selectsilo               Z tego panelu mo¿esz ustawiæ wszystkie dostêpne Ci jednostki. W tej misji s¹ to jedynie silosy.\n\nMusisz rozstawiæ wszystkie jednostki PRZED Defcon 3.\n\nKliknij ikonê silosu, by rozpocz¹æ ustawianie.
tutorial_m2placesilos               Na zielono oznaczone jest Twoje terytorium.\n\nTylko na nim mo¿esz rozstawiaæ wojska, a jednostek naziemnych od momentu postawienia nie mo¿na poruszyæ.\n\nJednostki naziemne nie mog¹ byæ ustawione zbyt blisko siebie.\n\nRozstaw silosy blisko miast, by mog³y ich broniæ.
tutorial_m2destroynukes             Wrogie okrêty podwodne wystrzeli³y rakiety nuklearne w kierunku Twoich miast!\n\nSilosy s¹ ju¿ w trybie Obrony P-lot i bêd¹ strzelaæ do lec¹cych rakiet.\n\nW trybie Obrony P-lot silosy s¹ b. efektywne przeciwko nadlatuj¹cym rakietom i samolotom.

tutorial_m2end                      Misja 2 zakoñczona.\n\nKliknij "Dalej", by przejœæ do Misji 3.
tutorial_mission2failed             Rakieta atomowa trafi³a Twoje miasto!\n\nSpróbuj jeszcze raz ustawiæ silosy przy miastach, by mia³y wystarczaj¹cy czas na zestrzelenie rakiet.\n\nKliknij "Restart", by zacz¹æ od nowa.

tutorial_unitpanel_popup            Kliknij tu, by otworzyæ panel jednostek
tutorial_silo_popup                 Kliknij tê ikonê, by zacz¹æ ustawianie silosów.
tutorial_silo_place                 Kliknij LPM na tym terenie, by rozpocz¹æ ustawianie silosów w pobli¿u swoich najwiêkszych miast.

# ==== MISSION 3 =====

tutorial_mission3start              W Defconie ka¿da jednostka ma swój zasiêg radarowy, mo¿esz wiêc widzieæ tylko te jednostki wroga, które s¹ w zasiêgu Twoich radarów.\n\nNa terenie Rosji jest kilka jednostek, które trzeba odkryæ.\n\nUstaw odpowiednio swoje radary.
tutorial_m3radarplacement           Ustaw swoje radary tak blisko Rosji, jak to mo¿liwe.\n\nPo ustawieniu ka¿dego z nich zobaczysz jak powiêksza siê zasiêg Twojej widocznoœci - pojawi¹ siê wrogie jednostki.
tutorial_m3siloplacement            Teraz widzisz jednostki wroga.\n\nRozstaw kilka silosów, by zniszczyæ wojska przeciwnika.
tutorial_m3gamespeed                By niszczyæ wrogie instalacje, potrzebujemy broni nuklearnej, ale nie mo¿na jej u¿ywaæ przed Defcon 1.\n\nMusimy wiêc przyspieszyæ czas. Kliknij na przyciski kontroli czasu, by przyspieszyæ a¿ zostanie og³oszony Defcon 1.
tutorial_m3defcon1                  Wiele jednostek nie mo¿e w³¹czaæ siê do walki do momentu og³oszenia konkretnego poziomu Defcon.\n\nWalki morskie i powietrzne nie mog¹ nast¹piæ przed Defcon 3.\n\nBRONI NUKLEARNEJ MO¯NA U¯YWAÆ WY£¥CZNIE PO OG£OSZENIU DEFCON 1.\n\nPrzyspiesz czas a¿ do Defcon 1.
tutorial_m3destroyenemy             Do niszczenia instalacji wroga mo¿esz u¿ywaæ rakiet z silosów.\n\nGdy silos wroga jest w trybie Obrona P-lot, zniszczy wiele Twoich nadlatuj¹cych rakiet. Na dodatek, silosy s¹ wzmocnione przeciw atakom nuklearnym i mog¹ przyj¹æ a¿ 3 bezpoœrednie uderzenia.\n\nMusisz uderzyæ na silos wroga ze wszystkich swoich silosów naraz, by zapewniæ sobie sukces.
tutorial_m3silostaketime            Silosy prze³¹czaj¹ siê d³ugo miêdzy trybami Ataku i Obrony. Ustaw kursor nad silosem, by zobaczyæ ile jeszcze musisz czekaæ na zmianê trybu.\n\nPrzyspiesz czas jeœli chcesz.\n\nStrzelaj we wrogie instalacje, a¿ kompletnie je zniszczysz.

tutorial_m3end                      Misja 3 zakoñczona.\n\nKliknij "Dalej", by przejœæ do Misji 4.
tutorial_mission3failed1            Rozstawi³eœ wszystkie radary, ale nie odkry³eœ ¿adnych wrogich wojsk.\n\nMisja nieudana.\n\nKliknij "Restart", by zacz¹æ od nowa.
tutorial_mission3failed2            Wyczerpa³eœ atomówki, nie niszcz¹c wszystkich wrogich instalacji.\n\nKliknij "Restart", by zacz¹æ od nowa.

tutorial_radar_popup                Kliknij na tê ikonê jednostki, by zacz¹æ ustawiaæ radary.
tutorial_radar_place                Kliknij LPM na ten teren, by zacz¹æ ustawiaæ radary w pobli¿u terytorium wroga.
tutorial_acceltime_popup            Klikaj w przyciski czasu, by przyspieszyæ do Defcon 1. 
tutorial_silosnuke_popup            Kliknij RPM na ten silos, by przestawiæ go w tryb Atak ICBM.
#macosx_tutorial_silosnuke_popup     Right Click on this Silo and switch it into ICBM Launch mode.\nCtrl-click if you have a one-button mouse.
tutorial_nukenemeysilo_popup        Kliknij LPM w ten silos kilka razy, by ustawiæ na nim kolejkê ataków nuklearnych. Mo¿e on przyj¹æ trzy bezpoœrednie uderzenia, a przed zniszczeniem zestrzeli sporo Twoich rakiet. 
tutorial_nukeenemyairbase_popup     Wystrzel kilka atomówek na lotnisko wroga.
tutorial_nukenemeycities_popup      Baw siê dobrze - pozosta³ych atomówek u¿yj na cywilach.

# ==== MISSION 4 =====

tutorial_mission4start              W wielu przypadkach jednostki wroga bêd¹ poza zasiêgiem Twojego radaru. By je odkryæ, musisz wys³a³ myœliwce na zwiad nad terytorium wroga.\n\nUstaw lotniska na swoim terytorium.
tutorial_m4launchfighters           Z lotniska mog¹ startowaæ dwa rodzaje samolotów:\n-Myœliwce : samoloty myœliwsko-zwiadowcze krótkiego zasiêgu\n-Bombowce : samoloty dalekiego zasiêgu, uzbrojone w pojedyncz¹ rakietê nuklearn¹ krótkiego zasiêgu (SRBM)\n\nMyœliwce to szybkie samoloty krótkiego zasiêgu. Radz¹ sobie dobrze w walce z innymi samolotami, s¹ œwietne jako jednostki zwiadowcze.\n\nSkieruj myœliwce nad teren wroga, by poszukaæ celów.
tutorial_m4radar                    Ka¿dy myœliwiec ma radar krótkiego zasiêgu i, gdy leci wystarczaj¹co blisko, wykrywa wrogie instalacje.\n\nW³¹cz widok Radarów, by zobaczyæ aktualne pokrycie radarowe.
tutorial_m4launchbombers            Twoje myœliwce odkry³y wszystkie wrogie instalacje.\n\nZauwa¿, ¿e znaczniki instalacji robi¹ siê szare, gdy nie s¹ ju¿ w zasiêgu radarów - to tzw. duchy radarowe.\n\nTeraz u¿yjemy bombowców do ataku nuklearnego na te instalacje.\n\nU¿yj lotniska, by zaatakowaæ bombowcami wrogie instalacje.
tutorial_m4bomberinfo               Bombowce maj¹ daleki zasiêg, ale do ataku nuklearnego musz¹ zbli¿yæ siê do celu - przenosz¹ bowiem rakiety bliskiego zasiêgu (SRBM).\n\nBombowce automatycznie wystrzel¹ atomówki, gdy cel znajdzie siê w ich zasiêgu.
tutorial_m4nukeslaunched            Po wystrzeleniu rakiety SRBM bombowiec automatycznie wróci na najbli¿sze lotnisko lub lotniskowiec.\n\nPo wyl¹dowaniu zostanie uzbrojony w now¹ rakietê SRBM. Pamiêtaj jednak, ¿e lotniska i lotniskowce dysponuj¹ ograniczon¹ liczb¹ rakiet.\n\nGdy podœwietlisz jedno lub drugie (umieszczaj¹c nad nim kursor), zobaczysz iloma samolotami i rakietami SRBM aktualnie dysponuje.

tutorial_m4end                      Misja 4 zakoñczona.\n\nKliknij "Dalej", by przejœæ do Misji 5.
tutorial_mission4failed             Wyczerpa³eœ rakiety przez zniszczeniem wroga. Misja nieudana.\n\nKliknij "Restart", by zacz¹æ od nowa.

tutorial_selectairbase_popup        Wciœnij tê ikonê, by zacz¹æ ustawiaæ Lotniska.
tutorial_placeairbase_popup         Kliknij LPM w tym obszarze, by ustawiæ Lotnisko.
tutorial_clickairbase_popup         Kliknij LPM na tym Lotnisku, by pos³aæ w bój myœliwce.
tutorial_scouthere_popup            Kliknij wielokrotnie LPM na tym terenie, by skierowaæ tam wiêcej myœliwców.
tutorial_radartoolbar_popup         Podœwietl ten przycisk, by zobaczyæ pokrycie radarowe.
tutorial_switchtobombers_popup              Kliknij PPM na tym Lotnisku i przestaw je w tryb startu bombowców.
#macosx_tutorial_switchtobombers_popup       Right Click on this AirBase and switch it into Bomber mode.\nCtrl-click if you have a one-button mouse.
tutorial_clickairbasebomber_popup   Kliknij LPM na tym Lotnisku, by pos³aæ w bój bombowce.
tutorial_nukebuilding_popup         Wystrzel kilka bombowców na tê wrog¹ instalacjê.

# ==== MISSION 5 =====

tutorial_mission5start              Wiêkszoœæ z twoich ruchomych jednostek to okrêty, zgrupowane we floty.\n\nW sk³ad floty mo¿e wchodziæ do szeœciu jednostek, poruszaj¹cych siê i dzia³aj¹cych wspólnie.\n\nOtwórz panel jednostek i kliknij "Floty", by zacz¹æ ustawiaæ flotê.
tutorial_m5createfleet              Tutaj budujesz flotê. Gdy klikniesz na jednostkê, zostanie ona dodanado floty.\n\n-Pancerniki s¹ efektywne przeciwko wielu ró¿nym jednostkom, ale wra¿liwe na ataki okrêtów podwodnych.\n-Z lotniskowców mog¹ startowaæ myœliwce i bombowce, a one same mog¹ atakowaæ okrêty podwodne bombami g³êbinowymi.\n-Okrêty podwodne s¹ niewidzialne dla konwencjonalnych radarów, przenosz¹ rakiety nuklearne œredniego zasiêgu (MRBM).\n\nZbuduj flotê z szeœciu okrêtów - trzech pancerników i trzech lotniskowców.
tutorial_m5battleshipinfo           Flota jest kontrolowana jak pojedyncza jednostka. Wszystkie nale¿¹ce do niej okrêty poruszaj¹ siê i atakuj¹ razem.\n\nWybierz jedn¹ ze swoich flot, klikaj¹c LPM na dowolnym jej okrêcie.\n\nPotem przesuñ j¹ na po³udnie, klikaj¹c PPM na celu podró¿y.
#macosx_tutorial_m5battleshipinfo    Fleets are controlled as a single unit. If you ask them to move they will move together.  If you ask them to attack an enemy fleet they will do so as a single unit, to the best of their ability.\n\nSelect one of your fleets by Left Clicking on any ship in that fleet.\n\nThen move the fleet south by Right Clicking (or ctrl-clicking) on their destination.
tutorial_m5destroyenemy             Gdzieœ na Atlantyku s¹ dwie wrogie floty - u¿yj swoich flot, by je znaleŸæ i zniszczyæ.\n\n- Kliknij LPM na dowolnym okrêcie, by wybraæ ca³¹ flotê.\n- Kliknij RPM na miejsce, w które chcesz j¹ skierowaæ.\n\nJeœli musisz, przyspiesz czas.
#macosx_tutorial_m5destroyenemy      There are two enemy Fleets somewhere in the Atlantic Ocean - use your Fleets to find and destroy them.\n\n- Left Click on any ship in a fleet to select the entire fleet.\n- Right Click (or ctrl-click) to set a destination for a selected fleet.\n\nAccelerate time if you need to.
tutorial_m5destroyenemy2            Twoje floty automatycznie nawi¹¿¹ walkê z wrogiem, gdy znajdzie siê w ich zasiêgu.  Pancerniki otworz¹ ogieñ z dzia³, a lotniskowce wystrzel¹ myœliwce.\n\nJeœli chcesz, mo¿e kontrolowaæ bitwê rêcznie - np. kliknij LPM na lotniskowcu, by go wybraæ, a potem LPM na wrogim okrêcie, by wys³aæ na niego lotniskowce.\n\nPodœwietl przycisk "Rozkazy" na pasku zadañ, by zobaczyæ aktualne rozkazy ataku dla floty.

tutorial_m5end                      Misja 5 zakoñczona. Kliknij "Dalej", by przejœæ do Misji 6.
tutorial_mission5failed             Straci³eœ wszystkie okrêty, nie niszcz¹c wroga. Misja nieudana.\n\nKliknij "Restart", by zacz¹æ od nowa.

tutorial_selectfleet_popup          Kliknij w tê ikonê, by zacz¹æ rozstawiaæ flotê.
tutorial_addbattleship_popup        Kliknij w tê ikonê jednostki, by dodaæ pancernik do floty.
tutorial_addcarrier_popup           Kliknij w tê ikonê jednostki, by dodaæ lotniskowiec do floty.
tutorial_deployfleet_popup          Kliknij LPM, by ustawiæ flotê w tym rejonie.
tutorial_selectdeployedfleet_popup  By wybraæ flotê, kliknij LPM na dowolnym jej okrêcie.
tutorial_movefleet_popup            KLIKNIJ PPM, by przemieœciæ tu ca³¹ zaznaczon¹ flotê.
#macosx_tutorial_movefleet_popup     RIGHT CLICK to move your entire selected Fleet here.Ctrl-Click if you have a one-button mouse.
tutorial_destroyfleet_popup         Zniszcz wrog¹ flotê na tym terenie.
tutorial_orderstoolbar_popup        Podœwietl ten przycisk, by zobaczyæ rozkazy dla floty.

# ==== MISSION 6 =====

tutorial_mission6start              Do tej pory operowaliœmy w Europie, a wrogiem by³ Zwi¹zek Radziecki. Nie bêdzie tak jednak zawsze.\n\nW tej misji Twoim terytorium jest Ameryka P³n., a wrogiem Po³udniowa Azja.\n\nPodœwietl przycisk "Terytoria", by zobaczyæ, kto kontroluje któr¹ czêœæ œwiata.
tutorial_mission6subintro           W tym przypadku Pacyfik jest kluczowym teatrem wojennym. Wróg rozstawi³ okrêty podwodne z rakietami MRBM w pobli¿u zachodniego wybrze¿a USA. Twoim najwiêkszym miastom grozi atak nuklearny!\n\nNajlepsz¹ broni¹ na okrêty podwodne jest lotniskowiec - mo¿e u¿ywaæ sonaru do zlokalizowania wroga pod wod¹, a potem zaatakowaæ go bombami g³êbinowymi.\n\nUstaw flotê lotniskowców w pobli¿u Zachodniego Wybrze¿a.
tutorial_mission6placesubs          U¿yj równie¿ swoich okrêtów podwodnych, by w rewan¿u wymazaæ z mapy œwiata wschodnie wybrze¿e Chin.\n\nStwórz flotê okrêtów podwodnych i ustaw j¹ tak blisko wschodnich Chin, jak mo¿esz.  
tutorial_m6subinfo                  Okrêty podw. przewo¿¹ spor¹ iloœæ rakiet nuklearnych œredniego zasiêgu (MRBM).\n\nPrzede wszystkim jednak, nie widaæ ich na wrogich radarach a¿ do momentu wynurzenia, nie mo¿na ich wiêc wczeœniej zaatakowaæ.\n\nPrzesuñ swoje okrêty podw. tak blisko brzegu wroga jak mo¿esz i poœlij parê milionów ludzi do piachu...
tutorial_m6destroysubs              Przy Zachodnim Wybrze¿u USA s¹ ukryte dwie floty wrogich okrêtów podwodnych.\n\nPrze³¹cz czêœæ swoich lotniskowców na tryb przeciwpodwodny i wyci¹gnij parê "rybek" bombami g³êbinowymi.\n\nLotniskowce maj¹ nielimitowan¹ iloœæ bomb g³êbinowych.\nJeœli musisz, przyspiesz czas.
tutorial_m6movesubs                 Okrêty podwodne mog¹ poczyniæ olbrzymie straty, bowiem mogê siê podkraœæ pod sam brzeg i zaatakowaæ tak, ¿e wróg nie zd¹¿y siê obroniæ.\n\nPrzesuñ swoje okrêty podw. na odpowiedni dystans, by zaatakowaæ Wschodnie Chiny.
tutorial_m6enemylaunch              Wróg wystrzeli³ rakiety nuklearne z silosów!\n\nU¿yj okrêtów podwodnych, by zniszczyæ silosy, zanim narobi¹ zbyt du¿o szkód.\n\nPrze³¹cz okrêty podw. w tryb Ataku MRBM i zniszcz silosy!
tutorial_m6launchexplanation        Choæ zasiêg naszych radarów nie obejmuje tego regionu, widzisz wrogie silosy.\n\nWróg zdradzi³ ich lokalizacjê w momencie wystrzelenia rakiet.\n\nSilosy w trybie Ataku ICBM nie mog¹ siê broniæ, masz wiêc idealn¹ okazjê do ataku.\n\nNiszcz¹c wrogowi silosy, pozbawi³eœ go obrony - w rewan¿u zaatakuj ich miasta i poka¿ co to znaczy siaæ PRAWDZIWE ZNISZCZENIE!
tutorial_m6end                      Misja 6 zakoñczona. Kliknij "Dalej", by przejœæ do ostatniej misji samouczka.

tutorial_territorytoolbar_popup     Podœwietl ten przycisk, bo pokazaæ terytoria graczy.
tutorial_addsub_popup               Kliknij tê ikonê, by dodaæ okrêt podw. do floty.
tutorial_movesubs_popup             KLIKNIJ PPM tu, by przesun¹æ okrêty podw. tak, by w zasiêgu ich ataku znalaz³y siê wschodnie Chiny.
#macosx_tutorial_movesubs_popup      RIGHT CLICK here to move your Subs to within striking range of East China.\nCtrl-click if you have a one-button mouse.
tutorial_switchtodepth_popup        Kliknij PPM na ten lotniskowiec, by prze³¹czyæ go w tryb przeciwpodwodny.
#macosx_tutorial_switchtodepth_popup Right Click on this Carrier and switch it into Anti-Submarine mode.\nCtrl-click if you have a one-button mouse.
tutorial_destroysubs_popup          Przesuñ tutaj swoje lotniskowce i zniszcz okrêty podwodne wroga.
tutorial_substonuke_popup           Kliknij PPM na ten okrêt podwodny, by prze³¹czyæ go w tryb Ataku MRBM.
#macosx_tutorial_substonuke_popup    Right Click on this Sub and switch it into MRBM Launch mode.\nCtrl-click if you have a one-button mouse.
tutorial_nukesilo_popup             Kliknij kilkakrotnie LPM na ten silos, by zaatakowaæ go wieloma rakietami MRBM.


# ==== MISSION 7 =====

tutorial_mission7start              To Twoja ostatnia misja treningowa. Bêdziesz musia³ u¿yæ wszystkiego, czego siê nauczy³eœ, w walce z komputerowym rywalem.\n\nBy wygraæ, musisz zdobyæ wiêcej punktów od niego, spopielaj¹c jego miasta. Zyskasz 2 pkt za ka¿dy milion jego ofiar, ale stracisz 1 za ka¿dy milion ofiar wœród Twoich obywateli.\n\nTwój teren to Ameryka Pó³nocna, a wróg broni po³udniowej Azji.  
tutorial_mission7enemyattack        Wróg wystrzeli³ w ciebie rakiety ICBM!\n\nJeœli masz okrêty podw. lub lotniskowce przy wschodnich brzegu Chin, u¿yj ich do ataku na bezbronne silosy wroga.\n\nSwoje silosy pozostaw w trybie Obrona P-lot, by zniszczy³y nadlatuj¹ce rakiety.
tutorial_mission7retaliate          Wróg wystrzeli³ ju¿ wiêkszoœæ swoich rakiet ICBM.\n\nPora na Twoje silosy i odwetowy atak nuklearny na olbrzymi¹ skalê. Cel - miasta w Chinach!!
tutorial_m7victory                  Gratulacje! Pokona³eœ wroga i ukoñczy³eœ Samouczek gry Defcon!
tutorial_mission7failed             Zosta³eœ pokonany, misja nieudana.\n\nPorady:\n-Podp³yñ okrêtami podw. jak najbli¿ej wrogiego brzegu, by zniszczyæ jego silosy, zanim wystrzel¹ wszystkie rakiety.\nU¿yj lotniskowców, by znaleŸæ okrêty podw. wroga zanim zaatakuj¹.\n\nKliknij "Restart", by zacz¹æ od nowa.

tutorial_showterritory_popup        Podœwietl ten przycisk, by zobaczyæ, gdzie s¹ widoczne jednostki wroga.
tutorial_m7placeradar_popup         Wróg nadci¹gnie od strony wschodnich Chin. Najlepiej wiêc rozstaw radary na Zachodnim Wybrze¿u.
tutorial_m7placesilos_popup         Ustaw silosy tak, by chroni³y g³ówne miasta - bêd¹ one g³ównymi celami wroga.
tutorial_m7placeairbases_popup      Ustaw lotniska wzd³u¿ Wschodniego Wybrze¿a USA. U¿yjemy ich do wykrycia i powstrzymania wrogich okrêtów, zanim zbytnio siê zbli¿¹.
tutorial_placefleetspacific_popup   Wróg wyœle okrêty przez Pacyfik, by nas zaatakowaæ. By je przechwyciæ, powinieneœ rozstawiæ wiêkszoœæ flot na Pacyfiku.
tutorial_m7fleettarget_popup        Spróbuj podp³yn¹æ pod wschodnie wybrze¿e Chin, by zaatakowaæ naprawdê z bliska.\nKLINIJ LPM by wybraæ ca³¹ flotê.\nKLIKNIJ PPM, by przesun¹æ flotê.
#macosx_tutorial_m7fleettarget_popup Try to get your fleets to the East Coast of China, in order to strike from close range.\nLEFT CLICK to select an entire fleet.\nRIGHT CLICK (or Ctrl-Click) to move an entire fleet.
tutorial_m7scoutchina_popuup        Wyœlij myœliwce z pobliskich lotniskowców na poszukiwanie wrogich instalacji.
tutorial_m7enemysubs_popup          Okrêty podw. wroga wystrzeli³y rakiety MRBM! Rusz myœliwce i bombowce z pobliskich lotnisk, by szybko zniszczyæ wroga!


# =============================================================================
# Unit Info
# =============================================================================

unitinfo_title                      INFO O JEDNOSTCE
unitinfo_title2                     (nie wybrano jednostki)

unitinfo_fighter                    Szybki samolot bojowy krótkiego zasiêgu.\n+  Efektywny przeciwko bombowcom.\n+  Dobry do zwiadu\n-  £atwo niszczony przez pancerniki i silosy.
unitinfo_silo                       Ma tryb strzelania rakiet atomowych i obrony przeciwlotniczej.\n+  Du¿y zapas rakiet dalekiego zasiêgo\n+  Silne dzia³a przeciwlotnicze\n+  Wzmocniony przeciwko atakom nuklearnym\n-  Wystrzelenie rakiety zdradza lokalizacjê\n-  Powolne prze³¹czanie trybów.
unitinfo_radar                      Zapewnia pokrycie radarowe.\n+  Najwiêkszy mo¿liwy zasiêg\n-  Nieodporny na atak nuklearny
unitinfo_bomber                     Wszechstronny samolot dalekiego zasiêgu.\n+  Przenosi pojedyncz¹ rakietê nukl. bliskiego zasiêgu\n+  Wystrzelenie rakiety niewidoczne na radarze wroga\n+  Efektywny przeciwko okrêtom\n-  Podatny na ataki myœliwców\n-  Powolny
unitinfo_battleship                 Potê¿ny okrêt z mocnymi szybkostrzelnymi dzia³ami.\n+  Efektywny przeciw wielu celom\n-  Podatny na ataki okr. podwodnych i bombowców.
unitinfo_sub                        Zazwyczaj niewidoczna jednostka, uzbrojona w rakiety atomowe œredniego zasiêgo (MRBM).\n+  Niewidzialny dla konwencjonalnego radaru\n+  Du¿y zapas rakiet œredniego zasiêgu\n-  Po wynurzeniu bardzo podatny na ataki\n-  Wystrzelenie rakiety zdradza pozycjê\n-  Podatny na bomby g³êbinowe\n-  Brak radaru
unitinfo_carrier                    Jednostka transportuj¹ca lotnictwo.\n+  Mo¿e wystrzeliwywaæ myœliwce i bombowce\n+  Mo¿e atakowaæ okrêty podwodne bombami g³êbinowymi\n-  Brak bezpoœredniej obrony
unitinfo_nuke                       G³owica atomowa o du¿ym polu ra¿enia.\n+  Niesamowita si³a destrukcji\n-  Wra¿liwa na ogieñ przeciwlotniczy
unitinfo_airbase                    Lotnisko dla myœliwców i bombowców.\n+  Du¿a liczba bombowców\n+  Regeneruje myœliwce\n-  Nieodporna na atak nuklearny


# =============================================================================
# Demo screen
# =============================================================================

demo_top1                           Polecamy równie¿ inne gry
demo_middle1                        wydawane przez firmê Play.
demo_middle2                        Chcesz przeczytaæ o naszych 
demo_middle3                        najœwie¿szych planach wydawniczych?
demo_middle4                        Dowiedzieæ siê wiêcej o naszych grach?
demo_middle5                        Dokonaæ zakupu w sklepie internetowym?
demo_middle6                        Zapraszamy - http://www.play.pl
demo_bottom1                        Wersja polska
demo_bottom2                        PLAY SP. Z O.O.

#demo_bottom1_steam                  Immediate Activation for just
#demo_bottom2_steam                  $14.95

demo_bottom1_retail                 Wersja polska
demo_bottom2_retail                 PLAY SP. Z O.O.

#demo_bottom1_retail_uk              BUY THE FULL-VERSION OF DEFCON TODAY
#demo_bottom2_retail_uk              VISIT YOUR FAVOURITE PC GAMES RETAILER

#demo_bottom1_macosx                 Immediate Activation for just
#demo_bottom2_macosx                 $25.00


# =============================================================================
# Lobby Overlays
# =============================================================================

overlay_0_1                         --------------------------
overlay_0_2                         -       D E F C O N
overlay_0_3                         --------------------------
overlay_0_4                         -POMYS£
overlay_0_5                         CHRIS DELAY
overlay_0_6                         GARY CHAMBERS\n
overlay_0_7                         -MUZYKA
overlay_0_8                         ALISTAIR LINDSAY
overlay_0_9                         MICHAEL MAIDMENT\n
overlay_0_10                        -PRODUKCJA
overlay_0_11                        -INTROVERSION SOFTWARE
