# =============================================================================
# ФАЙЛ ОПИСАНИЯ DEFCON
#
# Формат:
# stringId                  перевод
#
#
# Символами в начале строки обозначаются комментарии
# StringIDs должны остаться нетронутыми!#
#
# =============================================================================


# =============================================================================
# Название языка
# =============================================================================
lang                                                  Русский
style_PopupTitleBar                                   Строка заголовка окна
style_PopupBorder                                     Рамка окна 
style_PopupHighlight                                  Выделение окна 
style_PopupSelection                                  Выбор окна 
style_FontPopupTitle                                  Шрифт заголовка окна
style_FontPopup                                       Шрифт окна


# =============================================================================
# Названия боевых единиц
# =============================================================================

unit_silo                                             ракетная шахта
unit_nuke                                             ядерная бомба
unit_city                                             город
unit_sub                                              подлодка
unit_radar                                            радар
unit_battleship                                       линкор
unit_airbase                                          авиабаза
unit_fighter                                          истребитель
unit_bomber                                           бомбардировщик
unit_carrier                                          авианосец
unit_tornado                                          торнадо
unit_saucer                                           инопланетный корабль 
unit_explosion                                        взрыв


# =============================================================================
# Состояния единиц
# =============================================================================

state_preparing                                       ГОТОВИТСЯ
state_prepare                                         ПОДГОТОВИТЬ
state_ready                                           ГОТОВ
state_fighterlaunch                                   ИСТРЕБИТЕЛЬ
state_bomberlaunch                                    БОМБАРДИРОВЩИК
state_attack                                          АТАКА
state_flight                                          В ПОЛЕТЕ
state_bombernuke                                      ЗАПУСК БРБД
state_airtoseamissile                                 АТАКА С МОРЯ
state_antisub                                         ПРОТИВОЛОДОЧНЫЙ РЕЖИМ 
state_ontarget                                        НАЦЕЛИТЬ НА
state_disarm                                          ОБЕЗВРЕДИТЬ
state_radar                                           СКАНИРОВАТЬ
state_silonuke                                        ЗАПУСК МБР
state_airdefense                                      ПРОТИВОВОЗДУШНАЯ ОБОРОНА
state_passivesonar                                    ПАССИВНЫЙ ГИДРОЛОКАТОР
state_activesonar                                     АКТИВНЫЙ ГИДРОЛОКАТОР
state_subnuke                                         ЗАПУСК БРСД 


# =============================================================================
# Сообщения игры
# =============================================================================

message_fuel                                          Нехватка топлива
message_tornadodeath                                  Торнадо рассеялся
message_nukelaunch                                    Обнаружен запуск
message_multilaunch                                   Обнаружено несколько запусков
message_firstlaunch                                   Обнаружен запуск: *T 
message_incursion                                     Вторжение на вражескую территорию невозможно
message_destroyed                                     *U - уничтожено
# V = пострадавшая команда, U = уничтоженная единица, T = атаковавшая команда, A = атаковавшая единица

message_directhit                                     город *C поражен, *D млн. погибло
message_fallout                                       над городом *C радиоактивные осадки *D млн. погибло
# C = название города, D = количество убитых

details_fuel                                          ТОПЛИВО

message_victory                                       ПОБЕДА *T
message_stalemate                                     НЕТ ОДНОЗНАЧНОГО ПОБЕДИТЕЛЯ
message_spectators_chat_players                       Теперь зрители могут общаться с игроками
message_placeunits                                    ВЫ ДОЛЖНЫ РАЗМЕСТИТЬ ВСЕ ЕДИНИЦЫ ДО НАЧАЛА DEFCON 3

message_fleet_move                                    Нельзя поместить флот здесь
message_disarmed                                      Снаряд обезврежен

message_alliance_join                                 *P присоединяется к союзу *N 
message_alliance_kicked                               *P исключается из союза *N
message_alliance_leave                                *P покидает союз *N 
# P = player name, N = alliance name

message_invalid_action                                НЕВОЗМОЖНО ДО ЗАПУСКА DEFCON *D
# D = Defcon level

message_ten_minute_warning                            ПРЕДУПРЕЖДЕНИЕ: 10 МИНУТ
message_victory_timer                                 ЗАПУСК ТАЙМЕРА ПОБЕДЫ

tray_icon_caption                                     DEFCON
tray_icon_ten_minute_warning                          Предупреждение: 10 минут
tray_icon_victory_timer                               Запуск таймера победы
tray_icon_nuke_launches_detected                      Обнаружен запуск ракет
tray_icon_enemy_subs_detected                         Обнаружены вражеские подводные лодки


# =============================================================================
# Вероятность атаки

# =============================================================================

odds_zero                                             вероятность атаки: нулевая
odds_vlow                                             вероятность атаки: оч. низ.
odds_low                                              вероятность атаки: низкая
odds_med                                              вероятность атаки: средняя
odds_high                                             вероятность атаки: высокая
odds_vhigh                                            вероятность атаки: оч. выс.


# =============================================================================
# Прочее
# =============================================================================

unknown                                               Н\Д

officemode_1                                          выбранная скорость переключится на режим «в офисе» 
officemode_2                                          настройки и параметры экрана.

alien_attack                                          *C уничтожен инопланетным кораблем
alien_invasion                                        ВТОРЖЕНИЕ ИНОПЛАНЕТЯН!
tornado_warning                                       ПРЕДУПРЕЖДЕНИЕ О ТОРНАДО


# =============================================================================
# Руководство
# =============================================================================

tutorial                                              Обучение
levelselect                                           Выбор уровня
tutorial_clicknext                                    Нажмите Далее

tutorial_restart_mission                              Рестарт
tutorial_missioncomplete                              МИССИЯ ЗАВЕРШЕНА
tutorial_missionfailed                                МИССИЯ ПРОВАЛЕНА
tutorial_mission                                      МИССИЯ *X
# X = Номер миссии
tutorial_team_name_cpu                                Компьютер
tutorial_team_name_player                             Игрок

tutorial_restart                                      Перезапустить
tutorial_next                                         Далее
tutorial_chapter_desc                                 ГЛАВА *C из 7   -   *N
# C = Номер главы, N = Имя главы
tutorial_level                                        Уровень *L
# L = Номер уровня

tutorial_levelname_1                                  Запуск ядерного оружия
tutorial_levelname_2                                  Противовоздушная оборона
tutorial_levelname_3                                  Зона обзора радара
tutorial_levelname_4                                  Разведка и бомбардировка
tutorial_levelname_5                                  Военно-морской флот
tutorial_levelname_6                                  Подводные лодки
tutorial_levelname_7                                  Глобальная термоядерная война

tutorial_popup                                        Всплывающее окно руководства
tutorial_clicknext_popup                              Нажмите Далее для продолжения.

# ==== МИССИЯ 1 =====

tutorial_start                                        Добро пожаловать в руководство по Defcon.\n\nВ этом руководстве содержится вся необходимая информация о том, как эффективно управлять своей армией.\n\nНажмите Далее для продолжения.
tutorial_movecamera                                   До того как начать, вам необходимо научиться управлять своей точкой обзора. \n\nПеремещайте точку обзора, двигая мышью по краю экрана в желаемом направлении.\n\nВ качестве альтернативы для изменения точки обзора вы можете использовать клавиши W,A,S,D.
tutorial_zoomcamera                                   Прокручивайте колесо мыши для приближения и отдаления.\n\nС тем же успехом вы можете использовать клавиши Q и E.
tutorial_movecamera2                                  Также вы можете удерживать среднюю кнопку мыши и перетаскивать картинку.\n\nКак только вы наиграетесь с управлением обзором, нажмите Далее, и мы перейдем к фейерверку. 
tutorial_silofocus                                    Выделенный объект – ракетная шахта, у нее два режима:\n\n – в режиме запуска МБР осуществляется ядерный удар по вражеским целям.\n\n – В режиме ПВО производится обстрел вражеских ракет и авиации.\n\nДля уничтожения ближайшей вражеской радарной станции нам необходимо перевести ракетную шахту в режим запуска МБР.\n\nЩелкните правой кнопкой по шахте и переведите ее в режим запуска МБР.
macosx_tutorial_silofocus                             Выделенный объект – ракетная шахта, у нее два режима:\n\n – в режиме запуска МБР осуществляется ядерный удар по вражеским целям.\n\n – В режиме противовоздушной обороны производится обстрел вражеских ракет и авиации.\n\nДля уничтожения ближайшей вражеской радарной станции нам необходимо перевести ракетную шахту в режим запуска МБР.\n\nЩелкните правой кнопкой мыши по ракетной шахте и переведите ее в режим запуска МБР.\n(Или щелкните, зажав ctrl, если у вас мышь с одной кнопкой).
tutorial_mission1destroyradar                         Обратите внимание на то, как иконка ракетной шахты меняется на треугольник во время подготовки к запуску ракеты.\n\nИспользуйте свою ракетную шахту для уничтожения вражеской радарной станции.

tutorial_mission1end                                  Миссия 1 завершена.\n\nНажмите Далее для перехода к Миссии 2.
tutorial_mission1failed                               У вас закончились ракеты, и вы не уничтожили цель. Миссия провалена.\n\nНажмите Перезапустить и попробуйте еще раз.

tutorial_silofocus_popup1                             Щелкните правой кнопкой мыши по ракетной шахте и переведите ее в режим запуска МБР.
macosx_tutorial_silofocus_popup1                      Щелкните правой кнопкой мыши по ракетной шахте и переведите ее в режим запуска МБР.\n(Или щелкните, зажав ctrl, если у вас мышь с одной кнопкой).
tutorial_silofocus_selectpopup                        Щелкните левой кнопкой мыши по ракетной шахте и выберите ее. 
tutorial_mission1destroyradar_popup                   Щелкните левой кнопкой мыши по вражеской радарной станции для нанесения ракетного удара.
#tutorial_mission1deselect_popup     Нажмите ПРОБЕЛ для отмены.
tutorial_mission1deselect_popup                       Нажмите ПРОБЕЛ для отмены выделения.

# ==== МИССИЯ 2 =====

tutorial_mission2start                                Ваше первое задание в любой из игр Defcon состоит в размещении ваших боевых единиц.\n\nОткройте панель боевых единиц для начала развертывания.
tutorial_m2selectsilo                                 Через эту панель вы сможете размещать все свои доступные единицы. В этой миссии у вас имеются только ракетные шахты.\n\nВы должны развернуть все свои единицы ДО начала Defcon 3.\n\nЩелкните по иконке ракетной шахты, чтобы начать развертывание.
tutorial_m2placesilos                                 Зеленым цветом обозначена ваша территория.\n\n Вы можете размещать свои боевые единицы только в пределах своей территории. Наземные единицы нельзя перемещать после установки.\n\nНаземные единицы нельзя размещать слишком близко друг от друга.\n\nРазмещайте свои ракетные шахты возле городов для их защиты.
tutorial_m2destroynukes                               Вражеские подводные лодки выпустили ядерные ракеты по вашим городам!\n\nВаши ракетные шахты уже переведены в режим противовоздушной обороны и будут сбивать приближающиеся ракеты.\n\nРакетные шахты в режиме противовоздушной обороны очень эффективны против вражеских ракет.

tutorial_m2end                                        Миссия 2 завершена.\n\nНажмите Далее для перехода к Миссии 3.
tutorial_mission2failed                               Ядерная ракета попала в один из ваших городов!\n\nВ следующий раз попробуйте расположить ракетные шахты возле городов. Так у ваших шахт будет больше времени для обстрела вражеских ракет.\n\nНажмите Перезапустить и попробуйте еще раз.

tutorial_unitpanel_popup                              Щелкните по этой кнопке, чтобы открыть панель боевых единиц.
tutorial_silo_popup                                   Щелкните по этой иконке, чтобы начать развертывание ракетных шахт.
tutorial_silo_place                                   Щелкните левой кнопкой мыши по этой территории, чтобы разместить свои ракетные шахты возле главных городов.

# ==== МИССИЯ 3 =====

tutorial_mission3start                                Каждая боевая единица в Defcon имеет свою дальность действия радара, и вы сможете увидеть вражескую единицу только если она попадет в зону обзора вашего радара.\n\nВ России всего несколько вражеских единиц, которые необходимо обнаружить.\n\nДля определения местонахождения вражеских единиц установите радарные станции. 
tutorial_m3radarplacement                             Разместите свои радарные станции как можно ближе к России.\n\n Расположив радарные станции, вы заметите, как видимость территории увеличивается. Вражеские единицы будут обнаружены.
tutorial_m3siloplacement                              Теперь вы можете увидеть вражеские единицы.\n\nРазверните несколько ракетных шахт на вашей территории для уничтожения врага.
tutorial_m3gamespeed                                  Для уничтожения вражеских строений нам необходимо использовать ядерное оружие, но мы не можем этого сделать до начала Defcon 1.\n\nДля перехода к Defcon 1 нам необходимо ускорить время. Щелкните по кнопке управления скоростью и ускорьте время до объявления Defcon 1.
tutorial_m3defcon1                                    В сражении не может участвовать большое количество боевых единиц до достижения определенного уровня Defcon.\n\nМорские и Воздушные бои не могут начаться до Defcon 3.\n\nЯДЕРНОЕ ОРУЖИЕ МОЖЕТ БЫТЬ ИСПОЛЬЗОВАНО ТОЛЬКО ПОСЛЕ ОБЪЯВЛЕНИЯ DEFCON 1.\n\nУскорьте время до объявления Defcon 1.
tutorial_m3destroyenemy                               Теперь вы можете использовать свои ракетные станции для уничтожения вражеских строений.\n\n У врага имеется собственная ракетная шахта в режиме Противовоздушной обороны, которая собьет ваши ракеты. Кроме того, вражеская ракетная шахта усилена против ядерных ракет и способна выдержать 3 прямых попадания.\n\nВы должны ударить по вражеской ракетной шахте всеми своими шахтами одновременно, чтобы добиться желаемого результата.
tutorial_m3silostaketime                              Переход шахт из режима Противовоздушной обороны к режиму запуска МБР занимает много времени. Наведите курсор на шахту и посмотрите, сколько осталось ждать.\n\nЕсли хотите, можете ускорить время.\n\nПродолжайте выпускать все свои ракеты по вражеским строениям до тех пор, пока они не будут уничтожены.

tutorial_m3end                                        Миссия 3 завершена.\n\nНажмите Далее для перехода к миссии 4.
tutorial_mission3failed1                              Вы разместили все свои радарные станции, но не обнаружили всех вражеских единиц.\n\nМиссия провалена.\n\nНажмите Перезапустить и попробуйте еще раз.
tutorial_mission3failed2                              У вас закончились ракеты, и вам не удалось уничтожить вражеские строения.\n\nНажмите Перезапустить и попробуйте еще раз.

tutorial_radar_popup                                  Щелкните по этой единице и начните развертывание радарных станций.
tutorial_radar_place                                  Щелкните по этому участку, чтобы разместить свои радарные станции возле вражеской территории.
tutorial_acceltime_popup                              Щелкните по кнопке управления скоростью для ускорения времени и перехода к Defcon 1. 
tutorial_silosnuke_popup                              Щелкните правой кнопкой мыши по этой ракетной шахте и переведите ее в режим запуска МБР.
macosx_tutorial_silosnuke_popup                       Щелкните правой кнопкой мыши по ракетной шахте и переведите ее в режим запуска МБР.\nИли щелкните, зажав ctrl, если у вас мышь с одной кнопкой.
tutorial_nukenemeysilo_popup                          Чтобы выпустить по шахте несколько ракет, щелкните по ней несколько раз левой кнопкой мыши. Шахта сможет сбить некоторые из ракет и выдержит 3 прямых попадания. 
tutorial_nukeenemyairbase_popup                       Выпустите несколько ракет по вражеской авиабазе.
tutorial_nukenemeycities_popup                        Оставшиеся ракеты можете выпустить по вражескому гражданскому населению.

# ==== МИССИЯ 4 =====

tutorial_mission4start                                Во многих случаях вражеские единицы будут находиться вне зоны обзора вашего радара. Для обнаружения вражеских единиц вам необходимо отправить на вражескую территорию разведывательные самолеты.\n\nРазместите несколько авиабаз на своей территории.
tutorial_m4launchfighters                             Вы можете использовать авиабазы для выпуска двух типов самолетов:\n-Истребители: небольшой радиус действия/самолеты-разведчики\n-Бомбардировщики : самолет дальнего действия, вооруженный одной ядерной ракетой\n\nИстребители – это быстрые и эффективные на малой дистанции самолеты. Они с легкостью сбивают другие самолеты и прекрасно служат в качестве разведчиков.\n\nОтправьте своих истребителей в сторону вражеской территории для разведывания целей. 
tutorial_m4radar                                      На каждом истребителе установлен радар небольшого радиуса обзора, который обнаружит вражеские строения, пролетев над ними достаточно низко.\n\nВключите обзор своего радара для получения изображения зоны обзора радарной станции.
tutorial_m4launchbombers                              Ваши истребители обнаружили все вражеские строения.\n\nВы наверное заметили, что вражеские строения приобрели серый оттенок, оказавшись вне зоны вашего радара – этот эффект называется Призраком Радара.\n\nТеперь мы используем бомбардировщики для нанесения бомбового удара по вражеским целям.\n\nИспользуйте авиабазы для запуска бомбардировщиков в сторону вражеских строений. 
tutorial_m4bomberinfo                                 Бомбардировщики могут перемещаться на очень большие расстояния, однако они должны вплотную подойти к своей цели – на их борту находится только одна ядерная бомба с небольшим радиусом действия.\n\nОказавшись в зоне местонахождения своей цели, бомбардировщики автоматически сбрасывают бомбу. 
tutorial_m4nukeslaunched                              Как только бомбардировщик сбросит свою бомбу, он автоматически вернется на ближайшую авиабазу для посадки.\n\nПриземлившись, бомбардировщик будет загружен новой бомбой. Однако авиабазы располагают ограниченным количеством ядерных бомб для перевооружения бомбардировщиков.\n\nЕсли вы выделите авиабазу (наведя на нее курсор мыши), вы увидите доступное количество самолетов и бомб.

tutorial_m4end                                        Миссия 4 завершена.\n\nНажмите Далее для перехода к Миссии 5.
tutorial_mission4failed                               У вас закончились все бомбы, но вы не уничтожили врага. Миссия провалена.\n\nНажмите Перезапустить и попробуйте еще раз.

tutorial_selectairbase_popup                          Щелкните по иконке единицы и начните развертывание авиабаз.
tutorial_placeairbase_popup                           Щелкните левой кнопкой мыши по этой области для размещения авиабаз.
tutorial_clickairbase_popup                           Щелкните левой кнопкой мыши по этой авиабазе для запуска истребителей.
tutorial_scouthere_popup                              Щелкните левой кнопкой мыши по этой области несколько раз для запуска нескольких истребителей.
tutorial_radartoolbar_popup                           Нажмите эту кнопку на панели для получения изображения зоны обзора вашего радара.
tutorial_switchtobombers_popup                        Щелкните правой кнопкой мыши по авиабазе и переведите ее в режим запуска бомбардировщиков.
macosx_tutorial_switchtobombers_popup                 Щелкните правой кнопкой мыши по авиабазе и переведите ее в режим запуска бомбардировщиков.\nИли щелкните, зажав ctrl, если у вас мышь с одной кнопкой.
tutorial_clickairbasebomber_popup                     Щелкните левой кнопкой мыши по авиабазе для начала запуска бомбардировщиков.
tutorial_nukebuilding_popup                           Направьте пару бомбардировщиков на это вражеское строение.

# ==== МИССИЯ 5 =====

tutorial_mission5start                                Значительная часть ваших мобильных войск будет состоять из судов, которые объединены во флоты.\n\nФлот состоит максимум из шести кораблей и передвигается как одна связанная боевая единица.\n\nОткройте панель единиц и щелкните по кнопке Флот для развертывания флота. 
tutorial_m5createfleet                                Это строитель флота. Щелчок на кнопке единицы добавит этот корабль к флоту.\n\n-Линкоры эффективны против различных вражеских единиц, но уязвимы перед подводными лодками.\n-Авианосцы выступают в качестве мобильных авиабаз, позволяя осуществлять запуск истребителей и бомбардировщиков. Кроме того, они могут применять глубинные бомбы против вражеских подводных лодок.\n-Подводные лодки невидимы для традиционных радаров и несут на себе ядерное оружие среднего радиуса действия.\n\nПостройте флот из трех линкоров и трех авианосцев.
tutorial_m5battleshipinfo                             Флот управляется как цельная боевая единица. Если отдать им приказ двигаться, движение они начнут вместе. Если приказать им атаковать вражеский флот, они сделают это как одна боевая единица, на пределе своих возможностей.\n\nВыберите один из своих флотов, щелкнув левой кнопкой мыши по одному из кораблей в этом флоте.\n\nЗатем передвиньте флот на юг, щелкнув правой кнопкой по месту их назначения. 
macosx_tutorial_m5battleshipinfo                      Флот управляется как цельная боевая единица. Если отдать им приказ двигаться, движение они начнут вместе. Если приказать им атаковать вражеский флот, они сделают это как одна боевая единица, на пределе своих возможностей.\n\nВыберите один из своих флотов, щелкнув левой кнопкой мыши по одному из кораблей в этом флоте.\n\nЗатем передвиньте флот на юг, щелкнув правой кнопкой (или щелкнув, зажав ctrl) по месту их назначения.
tutorial_m5destroyenemy                               Где-то в Атлантическом океане два вражеских флота – Для их поиска и уничтожения используйте свой флот.\n\n- Щелкните левой кнопкой мыши по любому из кораблей своего флота, чтобы выбрать весь флот.\n- Чтобы указать место назначения для выбранного флота, щелкните правой кнопкой мыши по нужной области.\n\nПри необходимости ускорьте время.
macosx_tutorial_m5destroyenemy                        Где-то в Атлантическом океане два вражеских флота – используйте свой флот для их поиска и уничтожения.\n\n- Щелкните левой кнопкой мыши по любому из кораблей своего флота, чтобы выбрать весь флот.\n- Щелкните правой кнопкой мыши (или зажав ctrl), чтобы указать место назначения для выбранного флота.\n\nПри необходимости ускорьте время.
tutorial_m5destroyenemy2                              Ваш флот автоматически начнет атаковать вражеские суда, как только они окажутся в радиусе действия. Линкоры откроют огонь, а авианосцы начнут запуск истребителей.\n\nПри желании вы можете управлять сражениями вручную – для примера, щелкните левой кнопкой мыши по одному из авианосцев, чтобы выбрать его, после чего щелкните левой кнопкой по вражескому судну, чтобы направить на него истребитель.\n\nНажмите кнопку Приказы на панели для просмотра текущего состояния приказов об атаке.

tutorial_m5end                                        Миссия 5 завершена. Нажмите Далее для перехода к Миссии 6.
tutorial_mission5failed                               Вы потеряли все свои корабли, не уничтожив врага. Миссия провалена.\n\nНажмите Перезапустить и попробуйте еще раз.

tutorial_selectfleet_popup                            Щелкните по этой иконке, чтобы начать развертывание флота.
tutorial_addbattleship_popup                          Щелкните по этой иконке единицы для добавления линкора к своему флоту.
tutorial_addcarrier_popup                             Щелкните по этой иконке единицы для добавления авианосца к своему флоту.
tutorial_deployfleet_popup                            Щелкните левой кнопкой мыши для размещения своего флота в этой области.
tutorial_selectdeployedfleet_popup                    Щелкните левой кнопкой мыши по любому кораблю, чтобы выбрать весь флот.
tutorial_movefleet_popup                              ЩЕЛКНИТЕ ПРАВОЙ КНОПКОЙ МЫШИ для перемещения флота в эту точку.
macosx_tutorial_movefleet_popup                       ЩЕЛКНИТЕ ПРАВОЙ КНОПКОЙ МЫШИ для перемещения флота в эту точку. Щелкните, зажав Ctrl, если у вас мышь с одной кнопкой.
tutorial_destroyfleet_popup                           Уничтожьте вражеский флот на этой территории.
tutorial_orderstoolbar_popup                          Нажмите эту кнопку на панели для просмотра отданных приказов.

# ==== МИССИЯ 6 =====

tutorial_mission6start                                До этого момента мы действовали из Европы, противоборствуя Советскому Союзу. Но так будет не всегда.\n\nВ этой миссии вашей территорией станет Северная Америка, а врагом выступит Южная Азия.\n\nЩелкните по кнопке территории и посмотрите, кто какие части карты контролирует.
tutorial_mission6subintro                             В данном случае, театром военных действий является Тихий Океан. Враг разместил несколько атомных подводных лодок у западного побережья Америки. Оттуда они смогут нанести удар по основным нашим городам.\n\nЛучшим оружием в борьбе против атомных подводных лодок является авианосец – обнаружив их под водой с помощью гидролокатора, он сможет сбросить глубинную бомбу и потопить их.\n\nРазверните флот авианосцев у Западного побережья.
tutorial_mission6placesubs                            Мы собираемся использовать свои собственные подводные лодки для нанесения ответного сокрушительного удара по восточному берегу Китая.\n\nСоздайте флот из подводных лодок и разместите их как можно ближе к Восточному Китаю. 
tutorial_m6subinfo                                    Подводные лодки несут приличное количество ядерных ракет среднего радиуса действия.\n\nВажно помнить, что подводные лодки не засекаются радаром, пока не всплывают на поверхность, что делает их невидимыми и неуязвимыми для обстрела из стандартных орудий.\n\nПереместите свои подводные лодки как можно ближе к вражеской береговой линии и отправьте пару миллионов к праотцам.
tutorial_m6destroysubs                                Возле Западного побережья Америки находится 2 вражеских флота, скрытых под толщей воды.\n\nПереведите несколько своих авианосцев в противолодочный режим и взорвите вражеские подлодки глубинными бомбами.\n\nКоличество глубинных бомб на авианосце не ограничено.\nПри необходимости ускорьте время.
tutorial_m6movesubs                                   Подводные лодки можно использовать для произведения разрушительного эффекта, так как они могут незаметно приблизиться к вражеской береговой линии и ударить без предупреждения.\n\nПереместите свои подводные лодки к Восточному Китаю на расстояние удара.
tutorial_m6enemylaunch                                Враг выпустил ракеты по нашим городам из своих наземных шахт!\n\nДля уничтожения их шахт до того, как они смогут нанести значительный ущерб, мы используем наши ближайшие подводные лодки.\n\n Переведите свои подводные лодки в режим запуска БРСД и уничтожьте вражеские шахты! 
tutorial_m6launchexplanation                          У нас нет радарного обзора данной местности, но мы можем увидеть вражеские шахты.\n\nДело в том, что шахты выдают свое местонахождение, когда запускают ракеты.\n\nШахты в режиме запуска не способны защитить себя, поэтому это идеальная возможность для удара.\n\n С разрушенными шахтами враг станет беззащитен – поэтому нацельте свои ракеты на их города и нанесите настоящий ущерб!
tutorial_m6end                                        Миссия 6 завершена.  Нажмите Далее для перехода к последней тренировочной Миссии.

tutorial_territorytoolbar_popup                       Чтобы увидеть территории каждого игрока, нажмите эту кнопку на панели.
tutorial_addsub_popup                                 Щелкните по иконке этой единицы для добавления подводной лодки к своему флоту.
tutorial_movesubs_popup                               ЩЕЛКНИТЕ ПРАВОЙ КНОПКОЙ МЫШИ здесь, чтобы переместить подводные лодки к Восточному Китаю на расстояние удара.
